General : Start date,11/19/2024 10:20,
General : End date,11/19/2024 10:21,
Specimen Notes:,"Blue, 230, Print 6, Object 2, Seq 4",
Test : Rate 1,8,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.74215
0.1,0.00784,0.88243
0.2,0.02263,0.08146
0.3,0.03755,1.04231
0.4,0.05198,-0.00553
0.5,0.06597,0.90594
0.6,0.0797,-0.20695
0.7,0.09328,-0.76104
0.8,0.10674,-0.01885
0.9,0.1202,0.43022
1,0.13363,-0.72342
1.1,0.14693,-0.0118
1.2,0.16021,-0.20068
1.3,0.17354,-0.22732
1.4,0.18692,0.29777
1.5,0.20025,-0.45382
1.6,0.21356,-0.35429
1.7,0.22689,-0.80022
1.8,0.24027,-0.30413
1.9,0.25362,-0.25945
2,0.2669,0.52897
2.1,0.28021,1.06426
2.2,0.29359,0.49606
2.3,0.30697,0.18257
2.4,0.3203,-0.39582
2.5,0.3336,0.18178
2.6,0.34696,0.35263
2.7,0.36034,0.50781
2.8,0.37367,0.22175
2.9,0.38697,0.78055
3,0.40033,-0.50868
3.1,0.41363,-0.77123
3.2,0.42694,-0.54943
3.3,0.44022,-0.1466
3.4,0.45352,0.6387
3.5,0.4669,-1.57455
3.6,0.48021,0.37693
3.7,0.49349,-0.66542
3.8,0.50684,1.39421
3.9,0.52027,0.47176
4,0.53363,0.43179
4.1,0.54693,0.07833
4.2,0.56029,0.55013
4.3,0.57364,0.3542
4.4,0.58702,1.29938
4.5,0.6003,0.78838
4.6,0.61361,1.75237
4.7,0.62694,-0.08233
4.8,0.64032,0.77506
4.9,0.65362,-0.22105
5,0.66688,1.24765
5.1,0.68021,1.19436
5.2,0.69361,0.67553
5.3,0.70694,1.23746
5.4,0.72022,1.8762
5.5,0.73353,1.99768
5.6,0.74691,2.19282
5.7,0.76031,2.24141
5.8,0.77367,2.27354
5.9,0.78692,3.47343
6,0.80028,4.08239
6.1,0.81366,4.65921
6.2,0.82699,5.31597
6.3,0.84029,5.79326
6.4,0.8536,6.36929
6.5,0.8669,6.41397
