Category,AVG_FlexModulus,STD_FlexModulus,AVG_FlexYield_Strength,STD_FlexYield_Strength
Red_200,2.235768958,0.017190865,0.034980219,0.000515797
Red_215,2.265781061,0.060568673,0.041615429,0.000756634
Red_230,2.339797304,0.03732773,0.042028938,0.001319904
Blue_200,2.058035322,0.021467289,0.029520198,0.001146119
Blue_215,2.105945063,0.014139251,0.037053322,0.000520052
Blue_230,2.114543314,0.057623435,0.037241578,0.001745187
Green_200,2.049768765,0.026935938,0.031664379,0.001308859
Green_215,2.093936226,0.051274388,0.036778476,0.002225581
Green_230,2.149139535,0.014033677,0.036644173,0.001334287
Purple_200,2.106407204,0.034617919,0.029749568,0.000642022
Purple_215,2.159618553,0.03515921,0.039390827,0.00253549
Purple_230,2.209134754,0.023977255,0.040832406,0.001886401
Black_200,2.169924116,0.022491075,0.034163049,0.000770509
Black_215,2.213796146,0.034044601,0.04073442,0.00121453
Black_230,2.309333086,0.039739284,0.042553108,0.000556539
