Sequence_Number,Color,Temperature,Flex_Modulus,Flex_Yield_Strength
1,Red,200,2.2571773915975815,0.03485421985243971
2,Blue,230,2.1296299262709044,0.03942754938309877
3,Red,215,2.29092852828689,0.041623135470270946
4,Blue,230,2.1027539441613565,0.03742212214024428
5,Red,200,2.2417121531332698,0.0351073609027218
6,Green,200,2.0425675238812935,0.030220138136276265
7,Blue,200,2.07213326139662,0.02923158038316076
8,Black,230,2.353811063019158,0.043276677785355565
9,Red,230,2.3054011041399503,0.04372772124744249
10,Black,230,2.2588403848759926,0.04261158013516027
11,Purple,230,2.222054312257212,0.04240219430838861
12,Purple,200,2.1155560956665456,0.03020534937069874
13,Green,200,2.0225259589897076,0.031168775745551488
14,Blue,215,2.126345302454882,0.03722796552793105
15,Green,230,2.1486740436461864,0.03799281691363382
16,Red,200,2.219020755716185,0.03559855862111724
17,Black,200,2.166919969831301,0.03502877053754108
18,Black,215,2.1741707305797116,0.03972855651311303
19,Purple,230,2.175731817480988,0.0398482296484593
20,Blue,215,2.0941451532489763,0.03629161882323764
21,Black,200,2.1416246950752647,0.034048515841031676
22,Purple,200,2.092304767907091,0.029613362266724536
23,Purple,200,2.0682616226088353,0.030282318804637613
24,Purple,215,2.148213453525862,0.03976761758323517
25,Red,215,2.2437620794727238,0.042468817161634316
26,Green,215,2.1687337383536356,0.03883316560233121
27,Black,230,2.3025491188976037,0.04238167772335544
28,Green,200,2.047123609326884,0.03331488275776551
29,Blue,215,2.1035638582785956,0.037465915059830115
30,Red,215,2.334514641590429,0.04174094562589124
31,Blue,200,2.029434907165556,0.030552123504247006
32,Purple,215,2.194207923458248,0.04242272279744559
33,Blue,230,2.0436511010563385,0.036931753735507465
34,Green,200,2.086857968885451,0.03195371913943827
35,Black,215,2.2522297729168854,0.04247674524149048
36,Purple,230,2.2085998298565923,0.04241992138384277
37,Red,215,2.1939189934557333,0.0406288181536363
38,Black,215,2.1997449043624355,0.04013531502263005
39,Blue,200,2.0538708500379257,0.028026861429722858
40,Green,215,2.0553333491483636,0.03822429264058528
41,Green,215,2.067256579763154,0.036128388864777726
42,Black,215,2.2290391779448506,0.04059706417012834
43,Black,200,2.175142621229797,0.03439421662843325
44,Blue,230,2.1821382835789946,0.035184887841775675
45,Green,230,2.1666266502103104,0.03647182788765577
46,Red,230,2.387964153765798,0.04141611060822121
47,Blue,200,2.0767022710485477,0.0302702263004526
48,Green,215,2.08442123654809,0.033928057040114076
49,Green,230,2.1489937855922667,0.03487268497736995
50,Black,200,2.1960091768245977,0.03318069266538533
51,Purple,215,2.1805322173578183,0.03912561770723542
52,Black,230,2.3221317759765974,0.04194249662099324
53,Red,230,2.315851513844963,0.04231522747845495
54,Green,230,2.132263661477764,0.03723936363072725
55,Blue,215,2.099725938766441,0.037227786967573936
56,Red,200,2.225165533542754,0.03436073854547709
57,Purple,230,2.2301530561001783,0.038659277574555145
58,Red,230,2.3499724460989664,0.04065669340938681
59,Purple,200,2.1495063291844034,0.028897240002479996
60,Purple,215,2.1155206182328037,0.036247351726703445
