General : Start date,11/21/2024 9:54,
General : End date,11/21/2024 9:55,
Specimen Notes:,"Black, 215, Print 4, Object 2, Seq 35",
Test : Rate 1,8,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.24323
0.1,0.00774,0.99012
0.2,0.0226,-0.80461
0.3,0.03757,0.75814
0.4,0.05196,0.20405
0.5,0.06599,0.30593
0.6,0.07973,-1.11888
0.7,0.09328,-0.4441
0.8,0.10674,0.59199
0.9,0.12022,0.01673
1,0.13368,-1.26701
1.1,0.14701,-0.13217
1.2,0.16029,-1.23096
1.3,0.17357,-0.10239
1.4,0.18685,0.15859
1.5,0.2002,-0.18155
1.6,0.21353,-0.62749
1.7,0.22686,0.3122
1.8,0.24024,-0.26776
1.9,0.25362,-1.1855
2,0.26693,-0.27481
2.1,0.28016,0.72993
2.2,0.29359,0.54889
2.3,0.30697,-0.61652
2.4,0.3203,-1.7584
2.5,0.33363,0.45092
2.6,0.34698,0.19386
2.7,0.36034,-0.57654
2.8,0.37372,-0.34691
2.9,0.387,0.32552
3,0.4003,-0.00678
3.1,0.41363,0.21737
3.2,0.42696,1.2033
3.3,0.44019,0.07316
3.4,0.45347,-0.23406
3.5,0.46683,1.2754
3.6,0.48021,-0.70272
3.7,0.49354,-1.26857
3.8,0.50687,-1.40338
3.9,0.52025,0.31063
4,0.53363,-0.03499
4.1,0.54693,-0.28813
4.2,0.56031,-0.04047
4.3,0.57362,0.23775
4.4,0.58697,1.32477
4.5,0.6003,1.51365
4.6,0.61363,2.33108
4.7,0.62694,2.98627
4.8,0.64029,4.04195
4.9,0.6536,4.11013
5,0.66688,4.13757
5.1,0.68021,6.15017
5.2,0.69359,5.63683
5.3,0.70694,6.34924
5.4,0.7202,6.85474
5.5,0.73355,7.84851
5.6,0.74693,8.11967
5.7,0.76031,8.85559
5.8,0.77367,9.44417
5.9,0.78692,9.40263
6,0.80023,9.66988
6.1,0.81361,11.32433
6.2,0.82704,10.98654
6.3,0.84032,11.07432
6.4,0.85362,12.57907
6.5,0.86693,12.49129
6.6,0.88026,13.06185
6.7,0.89356,12.93175
6.8,0.90694,14.18258
6.9,0.92032,15.05173
7,0.93365,15.15988
7.1,0.94693,15.14734
7.2,0.96019,16.61134
7.3,0.97349,17.33707
7.4,0.98685,18.18428
7.5,1.0002,19.21253
7.6,1.01358,17.89351
7.7,1.02699,19.58088
7.8,1.04037,20.49
7.9,1.05365,20.60991
8,1.0669,22.21576
8.1,1.08023,22.11858
8.2,1.09364,23.1194
8.3,1.10697,23.07551
8.4,1.12027,22.66875
8.5,1.1336,24.12884
8.6,1.14693,25.5176
8.7,1.16029,24.92118
8.8,1.17367,25.34361
8.9,1.18695,26.48472
9,1.2003,26.98787
9.1,1.21366,26.99022
9.2,1.22694,27.61485
9.3,1.24022,28.45265
9.4,1.25357,29.22305
9.5,1.26695,29.62745
9.6,1.28023,30.80931
9.7,1.29356,31.03973
9.8,1.30689,30.85633
9.9,1.3203,31.93631
10,1.33358,33.02647
10.1,1.34691,32.99591
10.2,1.36024,33.02412
10.3,1.37357,34.85804
10.4,1.38695,35.41056
10.5,1.40028,35.63941
10.6,1.41361,34.58138
10.7,1.42694,36.34555
10.8,1.44032,37.98824
10.9,1.4536,37.51173
11,1.4669,37.83149
11.1,1.48031,38.30251
11.2,1.49369,38.82996
11.3,1.50697,39.54315
11.4,1.52027,40.97659
11.5,1.53358,40.42798
11.6,1.54691,39.82137
11.7,1.56029,40.92878
11.8,1.57357,41.45387
11.9,1.5869,42.8058
12,1.6002,42.25798
12.1,1.61363,44.27842
12.2,1.62696,44.56134
12.3,1.64027,45.30353
12.4,1.65362,44.99239
12.5,1.66695,46.4948
12.6,1.68028,47.55125
12.7,1.69364,46.93368
12.8,1.70702,46.89606
12.9,1.7204,48.469
13,1.73368,49.72374
13.1,1.74696,49.66418
13.2,1.76024,51.15091
13.3,1.77349,50.43301
13.4,1.78684,50.99887
13.5,1.8002,52.50127
13.6,1.81356,53.30929
13.7,1.82696,52.53262
13.8,1.84029,53.36964
13.9,1.85357,54.67532
14,1.86682,55.44886
14.1,1.88028,55.5335
14.2,1.89364,55.10715
14.3,1.90699,56.58134
14.4,1.92032,57.93876
14.5,1.93368,57.311
14.6,1.94703,58.4615
14.7,1.96036,59.93961
14.8,1.97367,60.23429
14.9,1.98695,60.15199
15,2.0003,60.13789
15.1,2.01361,61.64813
15.2,2.02688,61.37931
15.3,2.04016,63.23361
15.4,2.05354,63.40681
15.5,2.06685,63.20853
15.6,2.08015,65.11846
15.7,2.09353,65.46487
15.8,2.10694,66.01975
15.9,2.12032,65.82461
16,2.13363,65.7141
16.1,2.14698,67.23531
16.2,2.16029,67.39362
16.3,2.17367,68.35368
16.4,2.18697,68.61075
16.5,2.20027,70.75346
16.6,2.21358,69.75969
16.7,2.22693,70.96114
