General : Start date,11/21/2024 10:42,
General : End date,11/21/2024 10:43,
Specimen Notes:,"Purple, 230, Print 2, Object 2, Seq 57",
Test : Rate 1,8,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.17349
0.1,0.00791,0.34669
0.2,0.02265,0.0238
0.3,0.03762,-0.40098
0.4,0.05206,-0.22229
0.5,0.06605,-0.5734
0.6,0.0797,-0.36336
0.7,0.09323,-0.54127
0.8,0.10677,-0.87043
0.9,0.12025,-0.68469
1,0.13365,-0.0679
1.1,0.14698,-0.10552
1.2,0.16029,0.14057
1.3,0.17354,-0.66823
1.4,0.1868,0.09355
1.5,0.20015,-0.4676
1.6,0.21351,-0.68547
1.7,0.22689,-0.5303
1.8,0.24029,0.06769
1.9,0.25367,0.26362
2,0.2669,-0.22464
2.1,0.28018,0.07788
2.2,0.29361,0.08807
2.3,0.30697,-0.56086
2.4,0.3203,-1.3822
2.5,0.33363,-0.12589
2.6,0.34698,0.05437
2.7,0.36036,-0.10943
2.8,0.37369,-0.5444
2.9,0.387,-0.21915
3,0.40033,0.621
3.1,0.41366,0.53792
3.2,0.42694,-0.52324
3.3,0.44022,-0.03968
3.4,0.45352,0.00342
3.5,0.46688,-0.29283
3.6,0.48018,-0.25521
3.7,0.49344,-0.37276
3.8,0.50689,0.5003
3.9,0.5203,-0.88062
4,0.53365,-0.23013
4.1,0.54693,-0.17683
4.2,0.56029,-0.27323
4.3,0.57362,-0.98956
4.4,0.58702,-0.1016
4.5,0.60033,-0.6455
4.6,0.61363,-1.18627
4.7,0.62696,-0.27402
4.8,0.64027,-0.3422
4.9,0.65357,0.3898
5,0.66683,0.0622
5.1,0.68016,0.30202
5.2,0.69359,-0.02479
5.3,0.70694,0.22913
5.4,0.72017,0.42585
5.5,0.73353,0.77931
5.6,0.74688,1.85772
5.7,0.76029,1.44861
5.8,0.77357,3.24021
5.9,0.78692,3.57486
6,0.80025,4.36721
6.1,0.81368,4.73399
6.2,0.82701,4.5216
6.3,0.84032,4.8923
6.4,0.85362,5.32414
6.5,0.86693,6.86572
6.6,0.88026,6.84456
6.7,0.89359,7.62986
6.8,0.90702,8.19022
6.9,0.92035,7.9888
7,0.93368,9.70594
7.1,0.94696,10.1801
7.2,0.96026,10.28668
7.3,0.97349,11.27888
7.4,0.98682,10.6182
7.5,1.00023,12.24443
7.6,1.01358,11.30396
