General : Start date,"10/22/2024 9:06 AM"
General : End date,"10/22/2024 9:06 AM"
Specimen notes : Specimen note 1,"black, 200, batch 5, seq 1"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00010","73.39417"
"0.10000","0.00202","73.20692"
"0.20000","0.00857","80.01574"
"0.30000","0.02097","102.25295"
"0.40000","0.03195","124.51054"
"0.50000","0.04092","141.27876"
"0.60000","0.04979","158.17624"
"0.70000","0.05866","175.33545"
"0.80000","0.06693","189.48041"
"0.90000","0.07509","204.41830"
"1.00000","0.08315","218.73251"
"1.10000","0.09172","233.95248"
"1.20000","0.10039","249.94579"
"1.30000","0.10876","254.02483"
"1.40000","0.11682","267.57120"
"1.50000","0.12478","280.69678"
"1.60000","0.13315","294.55734"
"1.70000","0.14182","309.66998"
"1.80000","0.15048","324.70111"
"1.90000","0.15875","339.26682"
"2.00000","0.16681","353.44235"
"2.10000","0.17528","368.01511"
"2.20000","0.18365","382.08881"
"2.30000","0.19191","396.98984"
"2.40000","0.20028","410.70859"
"2.50000","0.20864","425.78598"
"2.60000","0.21701","440.59772"
"2.70000","0.22548","455.06158"
"2.80000","0.23384","469.20419"
"2.90000","0.24180","483.53955"
"3.00000","0.24987","497.39386"
"3.10000","0.25843","511.92200"
"3.20000","0.26710","526.46967"
"3.30000","0.27537","541.70062"
"3.40000","0.28383","556.22717"
"3.50000","0.29220","571.26221"
"3.60000","0.30006","584.90259"
"3.70000","0.30823","599.78955"
"3.80000","0.31669","614.64752"
"3.90000","0.32546","629.91138"
"4.00000","0.33383","644.50690"
"4.10000","0.34189","658.68951"
"4.20000","0.35016","674.35059"
"4.30000","0.35842","687.68298"
"4.40000","0.36669","701.11340"
"4.50000","0.37525","716.91241"
"4.60000","0.38382","730.47522"
"4.70000","0.39189","745.12561"
"4.80000","0.39995","758.93286"
"4.90000","0.40842","772.88666"
"5.00000","0.41678","787.22900"
"5.10000","0.42474","800.59833"
"5.20000","0.43321","815.44452"
"5.30000","0.44198","830.00006"
"5.40000","0.45055","845.22162"
"5.50000","0.45871","859.12915"
"5.60000","0.46667","872.19916"
"5.70000","0.47484","886.10278"
"5.80000","0.48331","901.92139"
"5.90000","0.49177","915.20605"
"6.00000","0.50034","929.45441"
"6.10000","0.50881","943.86816"
"6.20000","0.51697","958.18469"
"6.30000","0.52503","971.70209"
"6.40000","0.53320","986.05621"
"6.50000","0.54187","1000.36188"
"6.60000","0.55033","1014.89227"
"6.70000","0.55880","1029.13672"
"6.80000","0.56727","1043.71509"
"6.90000","0.57523","1056.28125"
"7.00000","0.58309","1070.19031"
"7.10000","0.59146","1083.14600"
"7.20000","0.60013","1097.16479"
"7.30000","0.60849","1111.87158"
"7.40000","0.61666","1125.84412"
"7.50000","0.62532","1140.28210"
"7.60000","0.63369","1154.37537"
"7.70000","0.64165","1166.72607"
"7.80000","0.64992","1180.46277"
"7.90000","0.65838","1194.65796"
"8.00000","0.66695","1208.34229"
"8.10000","0.67532","1222.21851"
"8.20000","0.68368","1236.96204"
"8.30000","0.69185","1249.65979"
"8.40000","0.69971","1263.59167"
"8.50000","0.70797","1276.52136"
"8.60000","0.71674","1291.16235"
"8.70000","0.72541","1305.70923"
"8.80000","0.73378","1318.66321"
"8.90000","0.74194","1332.28882"
"9.00000","0.75011","1345.34387"
"9.10000","0.75827","1358.65356"
"9.20000","0.76654","1371.73303"
"9.30000","0.77510","1385.28955"
"9.40000","0.78367","1399.43762"
"9.50000","0.79204","1413.31775"
"9.60000","0.80020","1426.27185"
"9.70000","0.80836","1439.56824"
"9.80000","0.81663","1452.10144"
"9.90000","0.82490","1466.17041"
"10.00000","0.83356","1480.81531"
"10.10000","0.84203","1494.76904"
"10.20000","0.85050","1507.47778"
"10.30000","0.85866","1520.49768"
"10.40000","0.86672","1533.17590"
"10.50000","0.87499","1544.63965"
"10.60000","0.88336","1557.56226"
"10.70000","0.89192","1571.43921"
"10.80000","0.90049","1584.83057"
"10.90000","0.90865","1598.15271"
"11.00000","0.91662","1610.67822"
"11.10000","0.92478","1622.88086"
"11.20000","0.93315","1635.94690"
"11.30000","0.94171","1649.94226"
"11.40000","0.95028","1663.37659"
"11.50000","0.95865","1676.21545"
"11.60000","0.96691","1689.31665"
"11.70000","0.97508","1700.97461"
"11.80000","0.98324","1713.84570"
"11.90000","0.99171","1726.92188"
"12.00000","1.00007","1739.30249"
"12.10000","1.00834","1753.33301"
"12.20000","1.01701","1766.38501"
"12.30000","1.02547","1779.76526"
"12.40000","1.03364","1791.37158"
"12.50000","1.04150","1803.15417"
"12.60000","1.04997","1816.23438"
"12.70000","1.05853","1829.59583"
"12.80000","1.06700","1841.84387"
"12.90000","1.07527","1854.44910"
"13.00000","1.08353","1867.21826"
"13.10000","1.09180","1879.91052"
"13.20000","1.09986","1892.44397"
"13.30000","1.10833","1904.30713"
"13.40000","1.11710","1917.28943"
"13.50000","1.12546","1930.41650"
"13.60000","1.13353","1942.69214"
"13.70000","1.14179","1955.40637"
"13.80000","1.15016","1966.93201"
"13.90000","1.15832","1978.54224"
"14.00000","1.16669","1991.16638"
"14.10000","1.17535","2003.52722"
"14.20000","1.18362","2015.82312"
"14.30000","1.19188","2027.87219"
"14.40000","1.20005","2040.89600"
"14.50000","1.20821","2051.74390"
"14.60000","1.21648","2064.24121"
"14.70000","1.22474","2076.43262"
"14.80000","1.23351","2089.86230"
"14.90000","1.24198","2102.95654"
"15.00000","1.25034","2114.48608"
"15.10000","1.25851","2126.67944"
"15.20000","1.26657","2138.19238"
"15.30000","1.27474","2150.48755"
"15.40000","1.28341","2162.93066"
"15.50000","1.29207","2175.38647"
"15.60000","1.30034","2187.42847"
"15.70000","1.30860","2199.83691"
"15.80000","1.31667","2211.26782"
"15.90000","1.32503","2222.40332"
"16.00000","1.33330","2234.39526"
"16.10000","1.34187","2247.06787"
"16.20000","1.35043","2259.11230"
"16.30000","1.35870","2270.74072"
"16.40000","1.36706","2282.57959"
"16.50000","1.37513","2294.55884"
"16.60000","1.38329","2306.05640"
"16.70000","1.39176","2317.99194"
"16.80000","1.40023","2329.74390"
"16.90000","1.40849","2341.83301"
"17.00000","1.41706","2353.94849"
"17.10000","1.42542","2365.56738"
"17.20000","1.43349","2375.87085"
"17.30000","1.44145","2387.09009"
"17.40000","1.44992","2399.06079"
"17.50000","1.45858","2411.35034"
"17.60000","1.46685","2423.41113"
"17.70000","1.47522","2433.55713"
"17.80000","1.48358","2445.99219"
"17.90000","1.49175","2457.93799"
"18.00000","1.49971","2468.10645"
"18.10000","1.50828","2479.14966"
"18.20000","1.51694","2492.51562"
"18.30000","1.52521","2503.75537"
"18.40000","1.53327","2513.55347"
"18.50000","1.54194","2525.64941"
"18.60000","1.55031","2537.41406"
"18.70000","1.55837","2547.82764"
"18.80000","1.56684","2558.86230"
"18.90000","1.57530","2571.72705"
"19.00000","1.58367","2582.63745"
"19.10000","1.59193","2593.92651"
"19.20000","1.60010","2605.33374"
"19.30000","1.60836","2616.08838"
"19.40000","1.61663","2626.93164"
"19.50000","1.62510","2638.71826"
"19.60000","1.63366","2650.04346"
"19.70000","1.64223","2661.64111"
"19.80000","1.65029","2671.57080"
"19.90000","1.65826","2682.53052"
"20.00000","1.66642","2694.30615"
"20.10000","1.67489","2704.13159"
"20.20000","1.68356","2715.59912"
"20.30000","1.69192","2726.32178"
"20.40000","1.70029","2737.85156"
"20.50000","1.70835","2748.44531"
"20.60000","1.71641","2759.13208"
"20.70000","1.72478","2769.20020"
"20.80000","1.73335","2780.28467"
"20.90000","1.74192","2792.35083"
"21.00000","1.75038","2803.64551"
"21.10000","1.75875","2813.60474"
"21.20000","1.76691","2824.52319"
"21.30000","1.77488","2834.46704"
"21.40000","1.78334","2844.83862"
"21.50000","1.79181","2856.32739"
"21.60000","1.80017","2866.31421"
"21.70000","1.80874","2878.39136"
"21.80000","1.81731","2888.80591"
"21.90000","1.82537","2899.20483"
"22.00000","1.83303","2909.51294"
"22.10000","1.84150","2920.06543"
"22.20000","1.85027","2930.92285"
"22.30000","1.85863","2942.32544"
"22.40000","1.86690","2951.99951"
"22.50000","1.87527","2963.09985"
"22.60000","1.88333","2972.58130"
"22.70000","1.89139","2982.75146"
"22.80000","1.89986","2992.89795"
"22.90000","1.90863","3004.15039"
"23.00000","1.91709","3013.62695"
"23.10000","1.92516","3024.29956"
"23.20000","1.93332","3032.83276"
"23.30000","1.94159","3043.61890"
"23.40000","1.94985","3054.07495"
"23.50000","1.95822","3063.46387"
"23.60000","1.96689","3074.93091"
"23.70000","1.97535","3085.43237"
"23.80000","1.98372","3095.05786"
"23.90000","1.99188","3105.52515"
"24.00000","1.99995","3113.89697"
"24.10000","2.00831","3124.22778"
"24.20000","2.01678","3134.65479"
"24.30000","2.02545","3145.47314"
"24.40000","2.03381","3155.87109"
"24.50000","2.04218","3165.57373"
"24.60000","2.05034","3175.91357"
"24.70000","2.05821","3184.18140"
"24.80000","2.06647","3193.80469"
"24.90000","2.07504","3203.23511"
"25.00000","2.08381","3214.10474"
"25.10000","2.09227","3224.35425"
"25.20000","2.10024","3233.13354"
"25.30000","2.10830","3242.22632"
"25.40000","2.11657","3251.72363"
"25.50000","2.12503","3261.30273"
"25.60000","2.13340","3270.25171"
"25.70000","2.14186","3280.02686"
"25.80000","2.15033","3290.68188"
"25.90000","2.15839","3299.76221"
"26.00000","2.16666","3308.12793"
"26.10000","2.17482","3316.81104"
"26.20000","2.18329","3325.95703"
"26.30000","2.19166","3335.83887"
"26.40000","2.20002","3344.82764"
"26.50000","2.20859","3354.66870"
"26.60000","2.21706","3363.49561"
"26.70000","2.22512","3372.78906"
"26.80000","2.23308","3381.02100"
"26.90000","2.24155","3389.69458"
