General : Start date,"10/22/2024 9:38 AM"
General : End date,"10/22/2024 9:39 AM"
Specimen notes : Specimen note 1,"green, 200, batch 6, seq 10"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.00020","1.16497"
"0.10000","0.00101","1.00984"
"0.20000","0.00947","10.76237"
"0.30000","0.02338","35.68785"
"0.40000","0.03286","56.41679"
"0.50000","0.04072","69.71476"
"0.60000","0.04939","84.78900"
"0.70000","0.05806","99.36569"
"0.80000","0.06673","112.22803"
"0.90000","0.07509","125.97263"
"1.00000","0.08356","139.46492"
"1.10000","0.09182","141.56946"
"1.20000","0.09979","155.71130"
"1.30000","0.10785","169.29527"
"1.40000","0.11642","182.67473"
"1.50000","0.12519","197.20285"
"1.60000","0.13365","210.99052"
"1.70000","0.14192","225.30945"
"1.80000","0.14998","238.51497"
"1.90000","0.15815","252.73830"
"2.00000","0.16661","267.53436"
"2.10000","0.17498","281.81961"
"2.20000","0.18355","294.76578"
"2.30000","0.19201","310.02258"
"2.40000","0.20018","323.02438"
"2.50000","0.20824","338.03986"
"2.60000","0.21640","351.38876"
"2.70000","0.22477","365.51257"
"2.80000","0.23324","379.16235"
"2.90000","0.24180","393.48206"
"3.00000","0.25027","407.91068"
"3.10000","0.25884","421.58862"
"3.20000","0.26660","435.57141"
"3.30000","0.27466","448.44318"
"3.40000","0.28313","461.63303"
"3.50000","0.29180","476.25598"
"3.60000","0.29996","488.37317"
"3.70000","0.30823","501.77850"
"3.80000","0.31690","515.55365"
"3.90000","0.32496","529.84119"
"4.00000","0.33292","542.09552"
"4.10000","0.34129","555.51105"
"4.20000","0.34996","569.50555"
"4.30000","0.35842","583.63483"
"4.40000","0.36669","597.43353"
"4.50000","0.37505","611.20239"
"4.60000","0.38322","624.50586"
"4.70000","0.39148","637.75372"
"4.80000","0.39985","651.17627"
"4.90000","0.40862","665.03912"
"5.00000","0.41688","678.10284"
"5.10000","0.42485","690.39716"
"5.20000","0.43311","704.59857"
"5.30000","0.44158","717.38098"
"5.40000","0.44984","731.05347"
"5.50000","0.45811","742.89178"
"5.60000","0.46678","756.64807"
"5.70000","0.47534","770.37860"
"5.80000","0.48361","783.97430"
"5.90000","0.49167","798.09027"
"6.00000","0.49994","810.57184"
"6.10000","0.50820","823.30798"
"6.20000","0.51657","836.12494"
"6.30000","0.52493","850.42657"
"6.40000","0.53340","863.04688"
"6.50000","0.54187","875.87311"
"6.60000","0.54993","889.04730"
"6.70000","0.55830","901.00781"
"6.80000","0.56656","914.37317"
"6.90000","0.57483","927.60065"
"7.00000","0.58329","941.04510"
"7.10000","0.59176","954.56720"
"7.20000","0.59992","967.92627"
"7.30000","0.60789","979.77789"
"7.40000","0.61615","992.48041"
"7.50000","0.62472","1005.39911"
"7.60000","0.63339","1018.10944"
"7.70000","0.64175","1031.78430"
"7.80000","0.65002","1044.46960"
"7.90000","0.65838","1057.54895"
"8.00000","0.66675","1070.45520"
"8.10000","0.67491","1083.00342"
"8.20000","0.68338","1095.50061"
"8.30000","0.69175","1109.71838"
"8.40000","0.70001","1122.10986"
"8.50000","0.70858","1134.19727"
"8.60000","0.71695","1146.33252"
"8.70000","0.72491","1158.87207"
"8.80000","0.73297","1171.66858"
"8.90000","0.74154","1183.81079"
"9.00000","0.75021","1197.24048"
"9.10000","0.75847","1210.27515"
"9.20000","0.76684","1221.70911"
"9.30000","0.77520","1234.44067"
"9.40000","0.78307","1245.81982"
"9.50000","0.79113","1258.46350"
"9.60000","0.79960","1271.32739"
"9.70000","0.80847","1284.55652"
"9.80000","0.81673","1296.79663"
"9.90000","0.82490","1308.87073"
"10.00000","0.83326","1321.84045"
"10.10000","0.84153","1333.11157"
"10.20000","0.84989","1346.12671"
"10.30000","0.85836","1358.26733"
"10.40000","0.86672","1371.02551"
"10.50000","0.87499","1383.19678"
"10.60000","0.88325","1394.27576"
"10.70000","0.89142","1406.46191"
"10.80000","0.89958","1417.97107"
"10.90000","0.90785","1430.97998"
"11.00000","0.91631","1443.78040"
"11.10000","0.92508","1457.00403"
"11.20000","0.93375","1468.94104"
"11.30000","0.94182","1480.49329"
"11.40000","0.94988","1492.02283"
"11.50000","0.95794","1505.00513"
"11.60000","0.96651","1517.31116"
"11.70000","0.97508","1529.81384"
"11.80000","0.98365","1542.49524"
"11.90000","0.99201","1554.29272"
"12.00000","1.00018","1565.42419"
"12.10000","1.00804","1575.98926"
"12.20000","1.01620","1588.20117"
"12.30000","1.02477","1600.07629"
"12.40000","1.03334","1612.10498"
"12.50000","1.04180","1624.22449"
"12.60000","1.05017","1635.84033"
"12.70000","1.05833","1647.76477"
"12.80000","1.06630","1659.19714"
"12.90000","1.07456","1670.91101"
"13.00000","1.08323","1682.77808"
"13.10000","1.09149","1694.08215"
"13.20000","1.09986","1705.95557"
"13.30000","1.10853","1718.07520"
"13.40000","1.11699","1730.14929"
"13.50000","1.12466","1740.81311"
"13.60000","1.13282","1751.20496"
"13.70000","1.14149","1763.21863"
"13.80000","1.15006","1775.99316"
"13.90000","1.15832","1787.01672"
"14.00000","1.16689","1797.51367"
"14.10000","1.17505","1809.10583"
"14.20000","1.18281","1820.83289"
"14.30000","1.19128","1832.14233"
"14.40000","1.20005","1843.01526"
"14.50000","1.20862","1855.04858"
"14.60000","1.21678","1866.04541"
"14.70000","1.22484","1877.53418"
"14.80000","1.23321","1888.91565"
"14.90000","1.24148","1900.35437"
"15.00000","1.24974","1912.17627"
"15.10000","1.25831","1923.27869"
"15.20000","1.26677","1933.88538"
"15.30000","1.27514","1944.03125"
"15.40000","1.28320","1955.28101"
"15.50000","1.29147","1965.66895"
"15.60000","1.29963","1976.84912"
"15.70000","1.30810","1987.63745"
"15.80000","1.31657","1999.06189"
"15.90000","1.32523","2009.86755"
"16.00000","1.33350","2020.82751"
"16.10000","1.34176","2032.02722"
"16.20000","1.34973","2042.57178"
"16.30000","1.35789","2053.18872"
"16.40000","1.36656","2064.88916"
"16.50000","1.37533","2076.96631"
"16.60000","1.38380","2088.15894"
"16.70000","1.39176","2099.53979"
"16.80000","1.39972","2109.96606"
"16.90000","1.40799","2118.65601"
"17.00000","1.41635","2130.71533"
"17.10000","1.42492","2141.82349"
"17.20000","1.43349","2152.56372"
"17.30000","1.44185","2163.56787"
"17.40000","1.45012","2174.55981"
"17.50000","1.45838","2185.03931"
"17.60000","1.46655","2196.04321"
"17.70000","1.47491","2206.09741"
"17.80000","1.48318","2216.74170"
"17.90000","1.49144","2226.29980"
"18.00000","1.50011","2237.84595"
"18.10000","1.50868","2249.34863"
"18.20000","1.51674","2259.25024"
"18.30000","1.52460","2269.01685"
"18.40000","1.53307","2279.60059"
"18.50000","1.54194","2291.18042"
"18.60000","1.55021","2302.35596"
"18.70000","1.55827","2312.12866"
"18.80000","1.56674","2322.62793"
"18.90000","1.57510","2333.08105"
"19.00000","1.58306","2342.21606"
"19.10000","1.59143","2352.12231"
"19.20000","1.60030","2363.23486"
"19.30000","1.60857","2374.51074"
"19.40000","1.61653","2384.86572"
"19.50000","1.62479","2394.27954"
"19.60000","1.63326","2404.90649"
"19.70000","1.64153","2414.05273"
"19.80000","1.64999","2424.84741"
"19.90000","1.65846","2435.06055"
"20.00000","1.66672","2445.37109"
"20.10000","1.67509","2455.16187"
"20.20000","1.68325","2460.60815"
"20.30000","1.69142","2470.89746"
"20.40000","1.69968","2479.95654"
"20.50000","1.70805","2490.62109"
"20.60000","1.71672","2502.18750"
"20.70000","1.72518","2512.15625"
"20.80000","1.73335","2522.28638"
"20.90000","1.74161","2530.89502"
"21.00000","1.74968","2540.68213"
"21.10000","1.75794","2550.19336"
"21.20000","1.76661","2560.68384"
"21.30000","1.77518","2571.31714"
"21.40000","1.78364","2581.23120"
"21.50000","1.79171","2591.22412"
"21.60000","1.79987","2600.25366"
"21.70000","1.80814","2609.61426"
"21.80000","1.81640","2618.80957"
"21.90000","1.82487","2629.60205"
"22.00000","1.83334","2639.94214"
"22.10000","1.84180","2651.15601"
"22.20000","1.85027","2659.06104"
"22.30000","1.85823","2667.93286"
"22.40000","1.86650","2676.94482"
"22.50000","1.87506","2687.11890"
"22.60000","1.88343","2696.95361"
"22.70000","1.89180","2706.51831"
"22.80000","1.90026","2716.18848"
"22.90000","1.90863","2724.49390"
"23.00000","1.91659","2734.40918"
"23.10000","1.92455","2743.54614"
"23.20000","1.93312","2753.59082"
"23.30000","1.94169","2763.49683"
"23.40000","1.94985","2772.39697"
"23.50000","1.95822","2781.69897"
"23.60000","1.96658","2789.40332"
"23.70000","1.97475","2798.77734"
"23.80000","1.98281","2807.75049"
"23.90000","1.99138","2817.39648"
"24.00000","2.00015","2828.41040"
"24.10000","2.00831","2837.13013"
"24.20000","2.01648","2846.28174"
"24.30000","2.02494","2855.75854"
"24.40000","2.03341","2859.88232"
"24.50000","2.04157","2868.59888"
"24.60000","2.05014","2877.68774"
"24.70000","2.05851","2886.61523"
"24.80000","2.06687","2896.22681"
"24.90000","2.07514","2904.29565"
"25.00000","2.08310","2913.83740"
"25.10000","2.09157","2921.97827"
"25.20000","2.09973","2932.24219"
"25.30000","2.10820","2941.81543"
"25.40000","2.11677","2949.62646"
"25.50000","2.12523","2957.74756"
"25.60000","2.13350","2965.24194"
"25.70000","2.14156","2974.28638"
"25.80000","2.14963","2982.61279"
"25.90000","2.15809","2992.16943"
"26.00000","2.16676","3001.74634"
"26.10000","2.17513","3010.40991"
"26.20000","2.18349","3018.99023"
"26.30000","2.19146","3026.32397"
"26.40000","2.19952","3035.15894"
"26.50000","2.20778","3043.97607"
"26.60000","2.21645","3052.51245"
"26.70000","2.22492","3060.54907"
"26.80000","2.23349","3070.05713"
"26.90000","2.24205","3078.38696"
