General : Start date,"10/22/2024 10:04 AM"
General : End date,"10/22/2024 10:05 AM"
Specimen notes : Specimen note 1,"purple, 200, batch 6, seq 18"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","1.55190"
"0.10000","0.00202","2.18499"
"0.20000","0.01330","19.68031"
"0.30000","0.02449","43.04189"
"0.40000","0.03266","58.10201"
"0.50000","0.04153","73.47085"
"0.60000","0.05030","89.65925"
"0.70000","0.05876","104.80009"
"0.80000","0.06693","118.99363"
"0.90000","0.07499","121.72030"
"1.00000","0.08346","135.75714"
"1.10000","0.09202","149.70154"
"1.20000","0.10069","160.03075"
"1.30000","0.10896","166.95084"
"1.40000","0.11702","179.06647"
"1.50000","0.12508","193.24513"
"1.60000","0.13345","206.12157"
"1.70000","0.14172","220.84714"
"1.80000","0.15038","235.24910"
"1.90000","0.15895","249.28516"
"2.00000","0.16702","262.73517"
"2.10000","0.17548","277.16061"
"2.20000","0.18375","290.30817"
"2.30000","0.19181","304.39047"
"2.40000","0.19997","318.35364"
"2.50000","0.20854","331.84204"
"2.60000","0.21731","346.32547"
"2.70000","0.22568","360.08731"
"2.80000","0.23364","373.60153"
"2.90000","0.24160","386.94107"
"3.00000","0.25007","401.70029"
"3.10000","0.25843","415.44019"
"3.20000","0.26700","428.97012"
"3.30000","0.27527","443.17459"
"3.40000","0.28383","457.52567"
"3.50000","0.29210","471.85867"
"3.60000","0.29996","483.96176"
"3.70000","0.30833","497.19788"
"3.80000","0.31679","511.62802"
"3.90000","0.32536","526.59882"
"4.00000","0.33383","540.48682"
"4.10000","0.34209","554.36066"
"4.20000","0.35026","567.18311"
"4.30000","0.35852","581.31158"
"4.40000","0.36669","595.59839"
"4.50000","0.37505","608.92773"
"4.60000","0.38372","623.50360"
"4.70000","0.39219","637.76062"
"4.80000","0.40045","651.75049"
"4.90000","0.40872","664.57281"
"5.00000","0.41668","678.18738"
"5.10000","0.42495","692.08710"
"5.20000","0.43341","705.72198"
"5.30000","0.44218","719.27698"
"5.40000","0.45055","733.67578"
"5.50000","0.45881","747.12579"
"5.60000","0.46698","760.03510"
"5.70000","0.47504","773.37854"
"5.80000","0.48341","787.60889"
"5.90000","0.49207","801.75708"
"6.00000","0.50044","815.78839"
"6.10000","0.50881","830.06573"
"6.20000","0.51697","842.74243"
"6.30000","0.52513","855.81085"
"6.40000","0.53320","867.94916"
"6.50000","0.54167","881.45483"
"6.60000","0.55033","896.42407"
"6.70000","0.55890","910.25562"
"6.80000","0.56706","923.04663"
"6.90000","0.57513","935.21948"
"7.00000","0.58339","949.27673"
"7.10000","0.59166","962.62878"
"7.20000","0.60023","977.00256"
"7.30000","0.60859","989.96039"
"7.40000","0.61716","1003.16748"
"7.50000","0.62542","1016.50153"
"7.60000","0.63349","1029.36938"
"7.70000","0.64145","1042.54675"
"7.80000","0.65012","1055.49915"
"7.90000","0.65859","1069.28687"
"8.00000","0.66725","1083.15759"
"8.10000","0.67562","1098.01550"
"8.20000","0.68378","1110.08337"
"8.30000","0.69185","1122.99280"
"8.40000","0.69981","1134.87805"
"8.50000","0.70838","1147.79834"
"8.60000","0.71705","1161.35876"
"8.70000","0.72501","1174.17969"
"8.80000","0.73348","1187.29272"
"8.90000","0.74204","1200.99500"
"9.00000","0.75011","1213.33167"
"9.10000","0.75807","1225.85852"
"9.20000","0.76654","1238.86267"
"9.30000","0.77520","1252.05103"
"9.40000","0.78357","1264.95886"
"9.50000","0.79194","1278.01624"
"9.60000","0.80020","1291.72717"
"9.70000","0.80857","1304.82068"
"9.80000","0.81653","1317.63904"
"9.90000","0.82500","1328.98303"
"10.00000","0.83387","1341.43555"
"10.10000","0.84233","1354.48047"
"10.20000","0.85040","1367.85828"
"10.30000","0.85856","1380.05005"
"10.40000","0.86683","1392.50732"
"10.50000","0.87509","1405.32336"
"10.60000","0.88346","1417.56360"
"10.70000","0.89223","1430.74011"
"10.80000","0.90069","1443.63379"
"10.90000","0.90855","1457.21533"
"11.00000","0.91682","1469.28174"
"11.10000","0.92498","1481.00867"
"11.20000","0.93345","1494.55737"
"11.30000","0.94171","1507.54590"
"11.40000","0.95028","1519.78381"
"11.50000","0.95895","1533.11072"
"11.60000","0.96722","1545.12378"
"11.70000","0.97538","1558.07300"
"11.80000","0.98344","1570.45032"
"11.90000","0.99171","1582.41394"
"12.00000","1.00018","1594.09546"
"12.10000","1.00864","1606.24011"
"12.20000","1.01691","1618.41235"
"12.30000","1.02507","1630.99634"
"12.40000","1.03324","1643.94580"
"12.50000","1.04140","1654.42773"
"12.60000","1.05007","1666.50732"
"12.70000","1.05864","1679.69629"
"12.80000","1.06710","1692.37634"
"12.90000","1.07547","1705.61780"
"13.00000","1.08373","1717.78589"
"13.10000","1.09190","1728.68237"
"13.20000","1.10016","1739.96912"
"13.30000","1.10863","1754.26135"
"13.40000","1.11699","1765.67664"
"13.50000","1.12536","1778.19165"
"13.60000","1.13383","1790.30969"
"13.70000","1.14219","1802.81165"
"13.80000","1.15016","1814.86145"
"13.90000","1.15832","1826.04321"
"14.00000","1.16689","1838.56934"
"14.10000","1.17556","1851.03210"
"14.20000","1.18382","1863.25745"
"14.30000","1.19209","1875.44678"
"14.40000","1.20045","1887.33826"
"14.50000","1.20841","1898.71509"
"14.60000","1.21638","1909.93579"
"14.70000","1.22495","1922.32971"
"14.80000","1.23371","1934.24487"
"14.90000","1.24198","1945.74609"
"15.00000","1.25024","1957.65259"
"15.10000","1.25881","1970.16541"
"15.20000","1.26708","1980.99219"
"15.30000","1.27514","1992.49670"
"15.40000","1.28351","2003.73328"
"15.50000","1.29197","2015.57227"
"15.60000","1.30034","2027.49915"
"15.70000","1.30850","2038.72864"
"15.80000","1.31657","2048.84009"
"15.90000","1.32493","2060.06396"
"16.00000","1.33310","2072.65991"
"16.10000","1.34187","2084.81787"
"16.20000","1.35043","2096.47754"
"16.30000","1.35880","2107.71313"
"16.40000","1.36706","2118.45703"
"16.50000","1.37503","2129.37622"
"16.60000","1.38329","2138.43604"
"16.70000","1.39186","2150.34961"
"16.80000","1.40043","2162.65723"
"16.90000","1.40889","2173.08740"
"17.00000","1.41726","2184.97900"
"17.10000","1.42522","2194.41333"
"17.20000","1.43339","2205.50732"
"17.30000","1.44165","2216.36768"
"17.40000","1.45002","2228.55615"
"17.50000","1.45858","2239.06030"
"17.60000","1.46735","2250.61182"
"17.70000","1.47572","2262.74756"
"17.80000","1.48378","2271.85229"
"17.90000","1.49175","2282.98853"
"18.00000","1.50001","2294.08228"
"18.10000","1.50848","2305.04565"
"18.20000","1.51694","2316.13550"
"18.30000","1.52511","2328.73535"
"18.40000","1.53388","2338.88428"
"18.50000","1.54224","2349.65625"
"18.60000","1.55000","2360.29102"
"18.70000","1.55817","2371.28223"
"18.80000","1.56704","2383.06567"
"18.90000","1.57540","2393.58545"
"19.00000","1.58357","2403.82544"
"19.10000","1.59214","2415.09082"
"19.20000","1.60020","2425.00073"
"19.30000","1.60826","2434.75171"
"19.40000","1.61653","2445.51978"
"19.50000","1.62530","2456.81982"
"19.60000","1.63386","2467.93262"
"19.70000","1.64203","2478.49048"
"19.80000","1.65029","2489.24512"
"19.90000","1.65856","2499.99976"
"20.00000","1.66672","2507.31787"
"20.10000","1.67509","2518.91016"
"20.20000","1.68356","2529.87231"
"20.30000","1.69202","2536.71045"
"20.40000","1.70049","2547.37476"
"20.50000","1.70865","2557.36475"
"20.60000","1.71662","2566.70752"
"20.70000","1.72498","2576.87378"
"20.80000","1.73335","2587.15039"
"20.90000","1.74181","2598.45972"
"21.00000","1.75038","2608.80078"
"21.10000","1.75875","2616.39941"
"21.20000","1.76701","2626.44971"
"21.30000","1.77498","2636.15601"
"21.40000","1.78324","2646.83765"
"21.50000","1.79201","2655.53491"
"21.60000","1.80058","2665.62061"
"21.70000","1.80894","2675.26025"
"21.80000","1.81701","2685.06372"
"21.90000","1.82507","2695.73047"
"22.00000","1.83334","2705.98926"
"22.10000","1.84190","2715.62817"
"22.20000","1.85017","2725.82104"
"22.30000","1.85863","2736.19580"
"22.40000","1.86700","2746.11255"
"22.50000","1.87547","2756.75049"
"22.60000","1.88353","2766.00562"
"22.70000","1.89170","2774.89307"
"22.80000","1.90006","2786.07788"
"22.90000","1.90833","2795.41357"
"23.00000","1.91659","2802.60400"
"23.10000","1.92556","2813.63159"
"23.20000","1.93393","2823.49048"
"23.30000","1.94189","2832.28711"
"23.40000","1.94985","2842.23242"
"23.50000","1.95832","2852.44556"
"23.60000","1.96719","2862.54834"
"23.70000","1.97545","2871.87329"
"23.80000","1.98362","2881.73853"
"23.90000","1.99198","2892.09277"
"24.00000","2.00035","2902.12354"
"24.10000","2.00831","2910.79150"
"24.20000","2.01688","2920.21045"
"24.30000","2.02565","2929.92676"
"24.40000","2.03391","2940.01709"
"24.50000","2.04198","2949.26416"
"24.60000","2.05024","2957.95044"
"24.70000","2.05861","2968.46436"
"24.80000","2.06677","2976.94385"
"24.90000","2.07524","2986.20190"
"25.00000","2.08381","2995.30640"
"25.10000","2.09197","3004.48462"
"25.20000","2.10034","3013.92163"
"25.30000","2.10840","3022.83105"
"25.40000","2.11667","3029.67261"
"25.50000","2.12493","3040.35376"
"25.60000","2.13340","3051.05664"
"25.70000","2.14207","3060.53491"
"25.80000","2.15053","3069.70752"
"25.90000","2.15880","3079.54321"
"26.00000","2.16686","3087.50000"
"26.10000","2.17493","3096.69629"
"26.20000","2.18329","3105.46924"
"26.30000","2.19216","3115.46021"
"26.40000","2.20073","3124.05762"
"26.50000","2.20889","3133.71753"
"26.60000","2.21696","3143.16016"
"26.70000","2.22502","3151.02002"
"26.80000","2.23328","3160.03931"
"26.90000","2.24165","3167.99438"
