General : Start date,"10/22/2024 10:08 AM"
General : End date,"10/22/2024 10:08 AM"
Specimen notes : Specimen note 1,"blue, 200, batch 10, seq 19"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.26232"
"0.10000","0.00121","-0.12787"
"0.20000","0.01078","12.20794"
"0.30000","0.02429","37.39826"
"0.40000","0.03306","54.16726"
"0.50000","0.04112","67.23566"
"0.60000","0.04959","82.27934"
"0.70000","0.05836","97.03859"
"0.80000","0.06703","111.97806"
"0.90000","0.07560","126.81017"
"1.00000","0.08386","140.58063"
"1.10000","0.09202","154.07137"
"1.20000","0.10029","167.61301"
"1.30000","0.10845","175.58929"
"1.40000","0.11692","185.34732"
"1.50000","0.12539","195.09906"
"1.60000","0.13385","206.09583"
"1.70000","0.14182","217.50082"
"1.80000","0.14988","230.45876"
"1.90000","0.15855","243.20120"
"2.00000","0.16691","256.31116"
"2.10000","0.17498","268.73782"
"2.20000","0.18355","282.88516"
"2.30000","0.19231","296.34924"
"2.40000","0.20058","310.43155"
"2.50000","0.20874","323.90894"
"2.60000","0.21681","337.25394"
"2.70000","0.22507","349.82324"
"2.80000","0.23324","363.24347"
"2.90000","0.24190","377.16199"
"3.00000","0.25037","390.53519"
"3.10000","0.25874","404.53207"
"3.20000","0.26690","417.77521"
"3.30000","0.27486","429.96759"
"3.40000","0.28333","443.07205"
"3.50000","0.29190","456.82684"
"3.60000","0.30047","471.09167"
"3.70000","0.30883","484.83786"
"3.80000","0.31700","498.99695"
"3.90000","0.32506","511.42444"
"4.00000","0.33332","524.33453"
"4.10000","0.34179","537.14832"
"4.20000","0.35026","551.27997"
"4.30000","0.35862","565.02222"
"4.40000","0.36669","578.73151"
"4.50000","0.37525","591.85791"
"4.60000","0.38352","604.58472"
"4.70000","0.39158","617.52618"
"4.80000","0.39985","631.48315"
"4.90000","0.40842","644.74896"
"5.00000","0.41698","659.08746"
"5.10000","0.42555","673.24268"
"5.20000","0.43382","686.70282"
"5.30000","0.44168","699.50873"
"5.40000","0.44984","712.18225"
"5.50000","0.45841","725.08533"
"5.60000","0.46708","738.77356"
"5.70000","0.47544","751.19238"
"5.80000","0.48381","764.84686"
"5.90000","0.49197","777.83142"
"6.00000","0.49994","790.53387"
"6.10000","0.50830","803.36652"
"6.20000","0.51677","816.99432"
"6.30000","0.52534","830.12775"
"6.40000","0.53370","843.21497"
"6.50000","0.54207","856.24030"
"6.60000","0.55013","869.51715"
"6.70000","0.55809","880.32819"
"6.80000","0.56636","894.41992"
"6.90000","0.57503","908.57269"
"7.00000","0.58380","922.63232"
"7.10000","0.59206","934.80823"
"7.20000","0.60043","947.32196"
"7.30000","0.60869","960.35895"
"7.40000","0.61666","972.97534"
"7.50000","0.62482","985.90033"
"7.60000","0.63339","999.71619"
"7.70000","0.64216","1012.66315"
"7.80000","0.65062","1025.06628"
"7.90000","0.65869","1037.49072"
"8.00000","0.66655","1050.33508"
"8.10000","0.67481","1063.54761"
"8.20000","0.68328","1075.96338"
"8.30000","0.69185","1088.64709"
"8.40000","0.70021","1101.50476"
"8.50000","0.70868","1114.74231"
"8.60000","0.71684","1126.84155"
"8.70000","0.72481","1139.32690"
"8.80000","0.73297","1152.47534"
"8.90000","0.74164","1165.33057"
"9.00000","0.75021","1178.07458"
"9.10000","0.75857","1191.96814"
"9.20000","0.76714","1205.27551"
"9.30000","0.77530","1217.34875"
"9.40000","0.78347","1229.28113"
"9.50000","0.79163","1241.84094"
"9.60000","0.79990","1254.45886"
"9.70000","0.80867","1267.71997"
"9.80000","0.81693","1280.44055"
"9.90000","0.82530","1292.59534"
"10.00000","0.83366","1304.88342"
"10.10000","0.84143","1316.88159"
"10.20000","0.84959","1328.87646"
"10.30000","0.85836","1342.43616"
"10.40000","0.86713","1355.57117"
"10.50000","0.87559","1367.81299"
"10.60000","0.88366","1380.74500"
"10.70000","0.89192","1392.13049"
"10.80000","0.89999","1404.22339"
"10.90000","0.90825","1416.30457"
"11.00000","0.91692","1428.69519"
"11.10000","0.92539","1441.37732"
"11.20000","0.93365","1453.61438"
"11.30000","0.94171","1465.73315"
"11.40000","0.94978","1477.86536"
"11.50000","0.95814","1489.81165"
"11.60000","0.96661","1502.34973"
"11.70000","0.97518","1514.40112"
"11.80000","0.98365","1526.56995"
"11.90000","0.99211","1539.50049"
"12.00000","1.00028","1551.40845"
"12.10000","1.00844","1562.81494"
"12.20000","1.01671","1574.49585"
"12.30000","1.02487","1586.41858"
"12.40000","1.03364","1598.69495"
"12.50000","1.04211","1611.15625"
"12.60000","1.05047","1622.35034"
"12.70000","1.05833","1634.89539"
"12.80000","1.06640","1646.05750"
"12.90000","1.07486","1657.65356"
"13.00000","1.08353","1670.00427"
"13.10000","1.09210","1682.22192"
"13.20000","1.10046","1694.11804"
"13.30000","1.10883","1706.27515"
"13.40000","1.11689","1716.97339"
"13.50000","1.12496","1727.30884"
"13.60000","1.13342","1738.31995"
"13.70000","1.14189","1751.08569"
"13.80000","1.15006","1762.08582"
"13.90000","1.15832","1773.88000"
"14.00000","1.16699","1785.05872"
"14.10000","1.17505","1796.68604"
"14.20000","1.18312","1807.22302"
"14.30000","1.19138","1818.82703"
"14.40000","1.20005","1831.17542"
"14.50000","1.20862","1843.81995"
"14.60000","1.21688","1854.18738"
"14.70000","1.22515","1866.12219"
"14.80000","1.23351","1876.84851"
"14.90000","1.24158","1887.57739"
"15.00000","1.24984","1898.81396"
"15.10000","1.25861","1910.68201"
"15.20000","1.26728","1922.02734"
"15.30000","1.27534","1933.75049"
"15.40000","1.28341","1945.19067"
"15.50000","1.29187","1956.34106"
"15.60000","1.30014","1967.26025"
"15.70000","1.30830","1977.85437"
"15.80000","1.31687","1989.83508"
"15.90000","1.32544","2001.10229"
"16.00000","1.33380","2012.70325"
"16.10000","1.34187","2023.76489"
"16.20000","1.35003","2035.53271"
"16.30000","1.35830","2044.45557"
"16.40000","1.36666","2056.45752"
"16.50000","1.37523","2068.19238"
"16.60000","1.38370","2079.21973"
"16.70000","1.39216","2090.11621"
"16.80000","1.40043","2100.40381"
"16.90000","1.40839","2110.90771"
"17.00000","1.41655","2122.71558"
"17.10000","1.42502","2133.14111"
"17.20000","1.43359","2144.07349"
"17.30000","1.44185","2154.15601"
"17.40000","1.45022","2165.34009"
"17.50000","1.45828","2175.67236"
"17.60000","1.46645","2185.49463"
"17.70000","1.47491","2197.55298"
"17.80000","1.48348","2208.29614"
"17.90000","1.49185","2219.13599"
"18.00000","1.50041","2229.15332"
"18.10000","1.50878","2240.74561"
"18.20000","1.51684","2250.62915"
"18.30000","1.52501","2260.76074"
"18.40000","1.53347","2271.02026"
"18.50000","1.54184","2281.65894"
"18.60000","1.55021","2291.83301"
"18.70000","1.55887","2303.04370"
"18.80000","1.56724","2314.04199"
"18.90000","1.57510","2323.20288"
"19.00000","1.58317","2333.52734"
"19.10000","1.59173","2344.41846"
"19.20000","1.60050","2355.73047"
"19.30000","1.60867","2366.57812"
"19.40000","1.61713","2376.12061"
"19.50000","1.62550","2386.18433"
"19.60000","1.63336","2396.63745"
"19.70000","1.64142","2405.63989"
"19.80000","1.64969","2416.92725"
"19.90000","1.65876","2428.67700"
"20.00000","1.66713","2438.47046"
"20.10000","1.67519","2448.10718"
"20.20000","1.68356","2455.15259"
"20.30000","1.69192","2464.24219"
"20.40000","1.70009","2474.24146"
"20.50000","1.70835","2485.22803"
"20.60000","1.71682","2495.50708"
"20.70000","1.72539","2505.16333"
"20.80000","1.73365","2515.65771"
"20.90000","1.74161","2523.21021"
"21.00000","1.74978","2530.79712"
"21.10000","1.75804","2540.16724"
"21.20000","1.76671","2549.57275"
"21.30000","1.77538","2559.27588"
"21.40000","1.78385","2569.24854"
"21.50000","1.79211","2579.32715"
"21.60000","1.80017","2589.33813"
"21.70000","1.80814","2597.50952"
"21.80000","1.81660","2603.98218"
"21.90000","1.82537","2610.66406"
"22.00000","1.83374","2620.97681"
"22.10000","1.84210","2631.24731"
"22.20000","1.85017","2642.07471"
"22.30000","1.85813","2651.29053"
"22.40000","1.86660","2661.23535"
"22.50000","1.87496","2671.66699"
"22.60000","1.88363","2681.89453"
"22.70000","1.89210","2692.00732"
"22.80000","1.90067","2702.54883"
"22.90000","1.90863","2711.47070"
"23.00000","1.91649","2720.69751"
"23.10000","1.92476","2729.30078"
"23.20000","1.93342","2738.85352"
"23.30000","1.94179","2748.02148"
"23.40000","1.95016","2756.94897"
"23.50000","1.95862","2763.62085"
"23.60000","1.96729","2769.24097"
"23.70000","1.97505","2774.88159"
"23.80000","1.98301","2783.95703"
"23.90000","1.99178","2793.23242"
"24.00000","2.00045","2803.34619"
"24.10000","2.00851","2811.59741"
"24.20000","2.01698","2789.26538"
"24.30000","2.02535","2776.37866"
"24.40000","2.03321","2786.75732"
"24.50000","2.04157","2797.31445"
"24.60000","2.05014","2807.46753"
"24.70000","2.05881","2818.54272"
"24.80000","2.06708","2828.50439"
"24.90000","2.07504","2838.57812"
"25.00000","2.08340","2847.95215"
"25.10000","2.09187","2858.08325"
"25.20000","2.10004","2866.87207"
"25.30000","2.10850","2878.27563"
"25.40000","2.11677","2887.37671"
"25.50000","2.12523","2897.13086"
"25.60000","2.13350","2907.21021"
"25.70000","2.14146","2914.59106"
"25.80000","2.14973","2923.88672"
"25.90000","2.15829","2934.04761"
"26.00000","2.16696","2943.49536"
"26.10000","2.17543","2952.21753"
"26.20000","2.18379","2960.53296"
"26.30000","2.19196","2968.98413"
"26.40000","2.20012","2978.31348"
"26.50000","2.20819","2987.11182"
"26.60000","2.21675","2996.36914"
"26.70000","2.22542","3005.19849"
"26.80000","2.23389","3015.11719"
"26.90000","2.24205","3023.22998"
