General : Start date,"10/29/2024 10:12 AM"
General : End date,"10/29/2024 10:13 AM"
Specimen notes : Specimen note 1,"Day 2, red, 215, batch 8, seq 27"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.94058"
"0.10000","0.00121","0.08654"
"0.20000","0.00947","10.27863"
"0.30000","0.02308","38.06085"
"0.40000","0.03235","57.84563"
"0.50000","0.04092","73.10320"
"0.60000","0.04979","88.92570"
"0.70000","0.05826","103.26969"
"0.80000","0.06622","118.02972"
"0.90000","0.07449","130.93359"
"1.00000","0.08326","146.35884"
"1.10000","0.09202","160.78824"
"1.20000","0.10059","175.43388"
"1.30000","0.10886","188.67702"
"1.40000","0.11692","202.40359"
"1.50000","0.12519","216.47412"
"1.60000","0.13335","231.35953"
"1.70000","0.14192","246.49095"
"1.80000","0.15059","261.71014"
"1.90000","0.15885","275.22281"
"2.00000","0.16722","290.80789"
"2.10000","0.17518","305.06882"
"2.20000","0.18334","318.82047"
"2.30000","0.19191","333.23499"
"2.40000","0.20028","347.31567"
"2.50000","0.20844","361.89240"
"2.60000","0.21701","376.31866"
"2.70000","0.22548","390.00369"
"2.80000","0.23344","403.88382"
"2.90000","0.24150","417.71066"
"3.00000","0.24997","432.23016"
"3.10000","0.25874","445.70993"
"3.20000","0.26690","459.96774"
"3.30000","0.27537","473.96146"
"3.40000","0.28373","486.83713"
"3.50000","0.29160","500.06305"
"3.60000","0.29956","514.14142"
"3.70000","0.30833","528.65076"
"3.80000","0.31710","543.44598"
"3.90000","0.32546","557.05975"
"4.00000","0.33353","570.70874"
"4.10000","0.34179","584.77771"
"4.20000","0.35006","598.62183"
"4.30000","0.35842","612.57642"
"4.40000","0.36709","625.75372"
"4.50000","0.37576","640.50433"
"4.60000","0.38392","653.91046"
"4.70000","0.39219","667.34479"
"4.80000","0.40025","680.42023"
"4.90000","0.40852","692.54608"
"5.00000","0.41688","706.06738"
"5.10000","0.42545","720.33142"
"5.20000","0.43382","734.08698"
"5.30000","0.44228","746.74402"
"5.40000","0.45045","760.48865"
"5.50000","0.45861","773.77173"
"5.60000","0.46667","786.49847"
"5.70000","0.47494","799.96027"
"5.80000","0.48361","813.87402"
"5.90000","0.49207","827.08502"
"6.00000","0.50044","840.24042"
"6.10000","0.50860","854.29297"
"6.20000","0.51647","865.61096"
"6.30000","0.52473","879.15265"
"6.40000","0.53330","892.34009"
"6.50000","0.54197","905.82770"
"6.60000","0.55043","920.03613"
"6.70000","0.55880","932.74731"
"6.80000","0.56696","945.88464"
"6.90000","0.57503","957.45648"
"7.00000","0.58319","969.53772"
"7.10000","0.59186","984.00153"
"7.20000","0.60023","996.08826"
"7.30000","0.60869","1011.14520"
"7.40000","0.61726","1023.74432"
"7.50000","0.62553","1036.18359"
"7.60000","0.63349","1048.61731"
"7.70000","0.64175","1061.43884"
"7.80000","0.65022","1075.00562"
"7.90000","0.65879","1087.89453"
"8.00000","0.66715","1099.58167"
"8.10000","0.67552","1113.26831"
"8.20000","0.68368","1126.09058"
"8.30000","0.69165","1138.16321"
"8.40000","0.69991","1150.44885"
"8.50000","0.70858","1164.32434"
"8.60000","0.71705","1176.35217"
"8.70000","0.72531","1189.32031"
"8.80000","0.73348","1202.05884"
"8.90000","0.74174","1213.63538"
"9.00000","0.74970","1225.87964"
"9.10000","0.75807","1238.36340"
"9.20000","0.76684","1250.66956"
"9.30000","0.77520","1263.05237"
"9.40000","0.78347","1276.15991"
"9.50000","0.79173","1288.40955"
"9.60000","0.80000","1299.58813"
"9.70000","0.80857","1312.30322"
"9.80000","0.81683","1324.13745"
"9.90000","0.82520","1336.88232"
"10.00000","0.83376","1349.55347"
"10.10000","0.84223","1361.28052"
"10.20000","0.85050","1373.00366"
"10.30000","0.85856","1384.37256"
"10.40000","0.86662","1396.71619"
"10.50000","0.87499","1407.53430"
"10.60000","0.88376","1420.18896"
"10.70000","0.89233","1433.21826"
"10.80000","0.90049","1444.22437"
"10.90000","0.90855","1455.77197"
"11.00000","0.91672","1466.52588"
"11.10000","0.92488","1478.65723"
"11.20000","0.93335","1490.56360"
"11.30000","0.94192","1501.85193"
"11.40000","0.95038","1513.92444"
"11.50000","0.95875","1525.12012"
"11.60000","0.96681","1536.46948"
"11.70000","0.97488","1546.94214"
"11.80000","0.98344","1558.54370"
"11.90000","0.99181","1571.68823"
"12.00000","0.99997","1583.16992"
"12.10000","1.00854","1594.67993"
"12.20000","1.01721","1606.50403"
"12.30000","1.02537","1617.12390"
"12.40000","1.03313","1628.60559"
"12.50000","1.04150","1639.64551"
"12.60000","1.05037","1651.82312"
"12.70000","1.05864","1662.87622"
"12.80000","1.06700","1674.80859"
"12.90000","1.07527","1685.49194"
"13.00000","1.08353","1697.09045"
"13.10000","1.09160","1708.09277"
"13.20000","1.10006","1718.04431"
"13.30000","1.10883","1730.22656"
"13.40000","1.11740","1741.51404"
"13.50000","1.12536","1752.04468"
"13.60000","1.13353","1762.30408"
"13.70000","1.14199","1774.10547"
"13.80000","1.15006","1784.83984"
"13.90000","1.15842","1795.98633"
"14.00000","1.16699","1807.92151"
"14.10000","1.17546","1818.07056"
"14.20000","1.18372","1830.41968"
"14.30000","1.19178","1841.04590"
"14.40000","1.19985","1852.11560"
"14.50000","1.20831","1862.11804"
"14.60000","1.21668","1873.49487"
"14.70000","1.22535","1884.92090"
"14.80000","1.23392","1896.14966"
"14.90000","1.24228","1906.20068"
"15.00000","1.25045","1916.43420"
"15.10000","1.25821","1926.91016"
"15.20000","1.26647","1937.46106"
"15.30000","1.27524","1948.72485"
"15.40000","1.28381","1959.27820"
"15.50000","1.29207","1969.06140"
"15.60000","1.30044","1979.59973"
"15.70000","1.30840","1989.81299"
"15.80000","1.31657","2000.03088"
"15.90000","1.32493","2009.70508"
"16.00000","1.33360","2020.49255"
"16.10000","1.34207","2031.69324"
"16.20000","1.35063","2041.30933"
"16.30000","1.35880","2051.96606"
"16.40000","1.36686","2062.32739"
"16.50000","1.37503","2072.09961"
"16.60000","1.38349","2082.71777"
"16.70000","1.39186","2091.76270"
"16.80000","1.40033","2102.32007"
"16.90000","1.40899","2112.05688"
"17.00000","1.41716","2121.88232"
"17.10000","1.42502","2131.35669"
"17.20000","1.43318","2141.05518"
"17.30000","1.44165","2150.80225"
"17.40000","1.45032","2161.45117"
"17.50000","1.45879","2171.17627"
"17.60000","1.46715","2180.31299"
"17.70000","1.47532","2190.20728"
"17.80000","1.48318","2199.57910"
"17.90000","1.49144","2209.44507"
"18.00000","1.50021","2219.56274"
"18.10000","1.50888","2228.85449"
"18.20000","1.51715","2237.88257"
"18.30000","1.52531","2246.96338"
"18.40000","1.53368","2255.57520"
"18.50000","1.54184","2265.49146"
"18.60000","1.55011","2273.96143"
"18.70000","1.55867","2283.59326"
"18.80000","1.56724","2293.25415"
"18.90000","1.57561","2300.96851"
"19.00000","1.58377","2310.52051"
"19.10000","1.59163","2319.56104"
"19.20000","1.59990","2327.51514"
"19.30000","1.60826","2335.98901"
"19.40000","1.61673","2345.62012"
"19.50000","1.62530","2355.06641"
"19.60000","1.63366","2363.73608"
"19.70000","1.64193","2372.38623"
"19.80000","1.64999","2381.46558"
"19.90000","1.65816","2390.25659"
"20.00000","1.66662","2399.84497"
"20.10000","1.67519","2408.87012"
"20.20000","1.68366","2418.06885"
"20.30000","1.69202","2426.97290"
"20.40000","1.70019","2435.93237"
"20.50000","1.70835","2444.74927"
"20.60000","1.71662","2453.43945"
"20.70000","1.72508","2462.80664"
"20.80000","1.73365","2471.99976"
"20.90000","1.74222","2480.55884"
"21.00000","1.75068","2489.94946"
"21.10000","1.75885","2499.19409"
"21.20000","1.76681","2506.96753"
"21.30000","1.77508","2516.12280"
"21.40000","1.78364","2525.91309"
"21.50000","1.79201","2534.41846"
"21.60000","1.80017","2543.00635"
"21.70000","1.80864","2551.64941"
"21.80000","1.81711","2560.05127"
"21.90000","1.82497","2568.12549"
"22.00000","1.83313","2577.01001"
"22.10000","1.84180","2584.99097"
"22.20000","1.85047","2594.73779"
"22.30000","1.85874","2603.40527"
"22.40000","1.86700","2612.55762"
"22.50000","1.87496","2620.24243"
"22.60000","1.88313","2628.31348"
"22.70000","1.89149","2637.01855"
"22.80000","1.90026","2647.00439"
"22.90000","1.90893","2655.61938"
"23.00000","1.91699","2664.92139"
"23.10000","1.92526","2672.89233"
"23.20000","1.93373","2682.43408"
"23.30000","1.94189","2690.12817"
"23.40000","1.95026","2699.20996"
"23.50000","1.95852","2708.41797"
"23.60000","1.96699","2716.73193"
"23.70000","1.97535","2725.33179"
"23.80000","1.98362","2734.69824"
"23.90000","1.99178","2742.24683"
"24.00000","2.00015","2750.51050"
"24.10000","2.00841","2759.69971"
"24.20000","2.01698","2767.78174"
"24.30000","2.02555","2776.87207"
"24.40000","2.03381","2785.18213"
"24.50000","2.04198","2794.30322"
"24.60000","2.05004","2802.83252"
"24.70000","2.05821","2810.04272"
"24.80000","2.06677","2820.18701"
"24.90000","2.07534","2828.66406"
"25.00000","2.08381","2837.12378"
"25.10000","2.09187","2845.99561"
"25.20000","2.10014","2854.57983"
"25.30000","2.10830","2862.59375"
"25.40000","2.11667","2870.06226"
"25.50000","2.12503","2879.77783"
"25.60000","2.13350","2887.24170"
"25.70000","2.14176","2895.89819"
"25.80000","2.15033","2904.74341"
"25.90000","2.15860","2913.33618"
"26.00000","2.16676","2921.12207"
"26.10000","2.17523","2928.91040"
"26.20000","2.18349","2938.53052"
"26.30000","2.19186","2945.79614"
"26.40000","2.20053","2954.62427"
"26.50000","2.20909","2962.65210"
"26.60000","2.21706","2970.66357"
"26.70000","2.22502","2978.72070"
"26.80000","2.23339","2987.01978"
"26.90000","2.24215","2995.73193"
