General : Start date,"10/29/2024 10:20 AM"
General : End date,"10/29/2024 10:21 AM"
Specimen notes : Specimen note 1,"Day 2, purple, 215, batch 7, seq 30"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00010","-0.24024"
"0.10000","0.00141","0.10922"
"0.20000","0.01068","12.05405"
"0.30000","0.02369","37.93779"
"0.40000","0.03276","54.79767"
"0.50000","0.04133","67.73367"
"0.60000","0.05009","82.45923"
"0.70000","0.05846","96.19755"
"0.80000","0.06652","109.05753"
"0.90000","0.07499","123.43678"
"1.00000","0.08376","136.63603"
"1.10000","0.09213","151.33575"
"1.20000","0.10049","166.41389"
"1.30000","0.10866","178.71680"
"1.40000","0.11682","191.84320"
"1.50000","0.12498","205.31824"
"1.60000","0.13335","219.92705"
"1.70000","0.14202","235.00600"
"1.80000","0.15048","249.81932"
"1.90000","0.15875","262.97470"
"2.00000","0.16691","276.34555"
"2.10000","0.17508","289.06528"
"2.20000","0.18324","303.68350"
"2.30000","0.19171","317.94601"
"2.40000","0.20028","331.77911"
"2.50000","0.20874","345.93506"
"2.60000","0.21701","359.55197"
"2.70000","0.22527","373.54727"
"2.80000","0.23354","387.30359"
"2.90000","0.24170","400.79745"
"3.00000","0.25027","415.17593"
"3.10000","0.25884","429.23001"
"3.20000","0.26730","443.27783"
"3.30000","0.27557","457.45023"
"3.40000","0.28353","470.38309"
"3.50000","0.29170","483.60583"
"3.60000","0.30016","497.04095"
"3.70000","0.30853","511.20706"
"3.80000","0.31679","523.93304"
"3.90000","0.32536","537.59381"
"4.00000","0.33373","550.36761"
"4.10000","0.34159","563.89911"
"4.20000","0.34985","576.78888"
"4.30000","0.35832","590.44727"
"4.40000","0.36699","604.46375"
"4.50000","0.37536","617.54706"
"4.60000","0.38382","629.13379"
"4.70000","0.39189","642.73499"
"4.80000","0.39965","654.86554"
"4.90000","0.40801","667.76392"
"5.00000","0.41668","680.77667"
"5.10000","0.42545","693.85999"
"5.20000","0.43361","707.12274"
"5.30000","0.44168","719.26263"
"5.40000","0.45025","732.56927"
"5.50000","0.45851","746.15399"
"5.60000","0.46688","758.24847"
"5.70000","0.47534","771.43518"
"5.80000","0.48401","784.38300"
"5.90000","0.49248","798.01941"
"6.00000","0.50054","809.74878"
"6.10000","0.50850","820.63666"
"6.20000","0.51677","833.56787"
"6.30000","0.52503","846.09808"
"6.40000","0.53350","858.01703"
"6.50000","0.54207","870.84882"
"6.60000","0.55053","883.27313"
"6.70000","0.55880","895.60968"
"6.80000","0.56686","907.15649"
"6.90000","0.57503","918.66022"
"7.00000","0.58329","931.08380"
"7.10000","0.59186","943.58887"
"7.20000","0.60033","955.32062"
"7.30000","0.60869","967.07660"
"7.40000","0.61696","980.21393"
"7.50000","0.62492","991.47241"
"7.60000","0.63319","1002.69330"
"7.70000","0.64155","1014.90692"
"7.80000","0.65032","1027.49268"
"7.90000","0.65859","1038.90149"
"8.00000","0.66675","1050.48438"
"8.10000","0.67501","1061.89014"
"8.20000","0.68338","1073.76758"
"8.30000","0.69175","1086.14258"
"8.40000","0.70011","1096.68176"
"8.50000","0.70848","1108.15015"
"8.60000","0.71695","1119.83423"
"8.70000","0.72561","1132.98328"
"8.80000","0.73378","1143.95020"
"8.90000","0.74174","1154.15247"
"9.00000","0.75001","1165.36475"
"9.10000","0.75847","1176.56445"
"9.20000","0.76714","1187.54480"
"9.30000","0.77530","1198.89490"
"9.40000","0.78367","1209.70361"
"9.50000","0.79194","1221.12585"
"9.60000","0.80000","1231.30469"
"9.70000","0.80816","1241.47314"
"9.80000","0.81703","1249.89771"
"9.90000","0.82550","1261.12561"
"10.00000","0.83366","1271.31067"
"10.10000","0.84183","1281.18774"
"10.20000","0.84999","1291.61328"
"10.30000","0.85816","1300.81116"
"10.40000","0.86642","1311.13330"
"10.50000","0.87519","1320.97363"
"10.60000","0.88346","1331.59351"
"10.70000","0.89182","1341.21118"
"10.80000","0.90009","1352.67737"
"10.90000","0.90835","1362.01685"
"11.00000","0.91672","1371.37146"
"11.10000","0.92498","1381.97571"
"11.20000","0.93355","1392.29553"
"11.30000","0.94202","1402.92090"
"11.40000","0.95048","1412.68274"
"11.50000","0.95885","1421.29993"
"11.60000","0.96671","1432.01001"
"11.70000","0.97488","1441.26184"
"11.80000","0.98314","1452.06665"
"11.90000","0.99201","1461.89978"
"12.00000","1.00058","1473.04236"
"12.10000","1.00884","1481.62195"
"12.20000","1.01691","1491.34705"
"12.30000","1.02507","1500.60596"
"12.40000","1.03344","1510.18384"
"12.50000","1.04180","1519.86902"
"12.60000","1.05037","1530.45435"
"12.70000","1.05864","1540.40833"
"12.80000","1.06700","1550.47815"
"12.90000","1.07506","1559.73938"
"13.00000","1.08313","1569.17688"
"13.10000","1.09160","1578.99207"
"13.20000","1.10016","1590.45825"
"13.30000","1.10843","1600.05408"
"13.40000","1.11679","1610.24072"
"13.50000","1.12556","1619.54968"
"13.60000","1.13363","1629.83960"
"13.70000","1.14149","1638.27197"
"13.80000","1.14975","1647.63196"
"13.90000","1.15842","1657.86011"
"14.00000","1.16699","1668.35156"
"14.10000","1.17546","1677.97095"
"14.20000","1.18362","1687.23376"
"14.30000","1.19178","1695.86816"
"14.40000","1.19995","1705.20764"
"14.50000","1.20821","1715.73596"
"14.60000","1.21708","1725.18140"
"14.70000","1.22555","1734.96753"
"14.80000","1.23371","1743.36548"
"14.90000","1.24198","1753.73926"
"15.00000","1.25014","1763.12366"
"15.10000","1.25831","1771.79871"
"15.20000","1.26667","1781.01526"
"15.30000","1.27524","1791.58118"
"15.40000","1.28381","1800.45605"
"15.50000","1.29207","1810.45862"
"15.60000","1.30024","1819.68628"
"15.70000","1.30830","1828.94897"
"15.80000","1.31657","1838.66931"
"15.90000","1.32493","1848.13611"
"16.00000","1.33350","1858.71912"
"16.10000","1.34217","1868.65027"
"16.20000","1.35053","1877.44849"
"16.30000","1.35870","1886.84302"
"16.40000","1.36656","1895.54858"
"16.50000","1.37483","1904.53882"
"16.60000","1.38359","1914.46057"
"16.70000","1.39216","1923.41321"
"16.80000","1.40043","1932.36877"
"16.90000","1.40869","1941.91370"
"17.00000","1.41676","1951.06384"
"17.10000","1.42502","1960.55212"
"17.20000","1.43329","1969.57214"
"17.30000","1.44195","1978.95728"
"17.40000","1.45042","1988.52161"
"17.50000","1.45889","1998.41370"
"17.60000","1.46705","2007.39526"
"17.70000","1.47511","2016.22717"
"17.80000","1.48328","2025.40295"
"17.90000","1.49175","2034.27808"
"18.00000","1.50011","2043.72327"
"18.10000","1.50858","2051.62842"
"18.20000","1.51725","2061.19897"
"18.30000","1.52541","2069.62817"
"18.40000","1.53337","2078.28223"
"18.50000","1.54144","2087.03979"
"18.60000","1.54990","2095.40625"
"18.70000","1.55867","2105.14233"
"18.80000","1.56704","2113.29395"
"18.90000","1.57540","2121.86890"
"19.00000","1.58367","2131.33936"
"19.10000","1.59153","2139.60083"
"19.20000","1.59980","2147.57178"
"19.30000","1.60846","2156.96216"
"19.40000","1.61713","2166.26758"
"19.50000","1.62550","2175.33130"
"19.60000","1.63356","2183.41870"
"19.70000","1.64203","2192.16992"
"19.80000","1.65019","2201.14038"
"19.90000","1.65836","2209.18970"
"20.00000","1.66703","2217.86792"
"20.10000","1.67549","2227.34082"
"20.20000","1.68376","2234.95581"
"20.30000","1.69212","2243.72510"
"20.40000","1.69999","2252.63135"
"20.50000","1.70815","2260.33960"
"20.60000","1.71652","2268.97095"
"20.70000","1.72508","2277.28735"
"20.80000","1.73375","2287.30298"
"20.90000","1.74212","2294.71216"
"21.00000","1.75038","2302.43311"
"21.10000","1.75834","2311.59546"
"21.20000","1.76651","2318.50000"
"21.30000","1.77488","2326.86108"
"21.40000","1.78344","2334.88354"
"21.50000","1.79181","2343.72388"
"21.60000","1.80028","2351.85620"
"21.70000","1.80854","2361.50073"
"21.80000","1.81670","2368.51562"
"21.90000","1.82517","2377.07617"
"22.00000","1.83364","2385.37769"
"22.10000","1.84221","2393.77637"
"22.20000","1.85047","2402.17896"
"22.30000","1.85874","2410.54858"
"22.40000","1.86700","2419.06299"
"22.50000","1.87496","2426.64917"
"22.60000","1.88343","2435.60571"
"22.70000","1.89200","2443.79492"
"22.80000","1.90026","2452.52979"
"22.90000","1.90853","2460.30859"
"23.00000","1.91709","2468.97192"
"23.10000","1.92536","2477.01733"
"23.20000","1.93332","2484.39404"
"23.30000","1.94159","2493.04736"
"23.40000","1.95016","2501.34424"
"23.50000","1.95862","2510.54565"
"23.60000","1.96689","2518.12891"
"23.70000","1.97525","2526.64087"
"23.80000","1.98342","2535.50830"
"23.90000","1.99148","2541.44971"
"24.00000","1.99985","2549.43848"
"24.10000","2.00862","2559.01782"
"24.20000","2.01718","2566.74878"
"24.30000","2.02525","2575.67627"
"24.40000","2.03341","2583.77783"
"24.50000","2.04178","2591.17603"
"24.60000","2.05014","2599.01831"
"24.70000","2.05851","2607.17627"
"24.80000","2.06687","2616.04272"
"24.90000","2.07544","2624.69922"
"25.00000","2.08381","2631.41162"
"25.10000","2.09197","2640.54199"
"25.20000","2.10014","2648.36377"
"25.30000","2.10840","2656.87451"
"25.40000","2.11677","2665.09766"
"25.50000","2.12523","2674.31348"
"25.60000","2.13370","2682.25684"
"25.70000","2.14207","2690.85376"
"25.80000","2.15033","2698.39185"
"25.90000","2.15839","2705.05664"
"26.00000","2.16656","2713.54834"
"26.10000","2.17523","2722.31372"
"26.20000","2.18369","2730.64722"
"26.30000","2.19196","2738.51465"
"26.40000","2.20022","2746.08423"
"26.50000","2.20849","2754.46802"
"26.60000","2.21655","2761.56372"
"26.70000","2.22492","2769.01025"
"26.80000","2.23339","2777.73877"
"26.90000","2.24185","2785.88037"
