General : Start date,"10/29/2024 10:27 AM"
General : End date,"10/29/2024 10:28 AM"
Specimen notes : Specimen note 1,"Day 2, blue, 215, batch 4, seq 33"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.32550"
"0.10000","0.00101","-0.37967"
"0.20000","0.00947","10.69310"
"0.30000","0.02318","36.21955"
"0.40000","0.03235","53.55503"
"0.50000","0.04072","66.21992"
"0.60000","0.04959","80.60544"
"0.70000","0.05786","92.86211"
"0.80000","0.06642","106.78927"
"0.90000","0.07499","120.82141"
"1.00000","0.08356","135.53130"
"1.10000","0.09192","148.48453"
"1.20000","0.10019","162.02776"
"1.30000","0.10876","175.51300"
"1.40000","0.11682","189.03821"
"1.50000","0.12498","203.73790"
"1.60000","0.13355","217.73009"
"1.70000","0.14232","231.15030"
"1.80000","0.15059","244.22028"
"1.90000","0.15885","257.12259"
"2.00000","0.16691","270.42056"
"2.10000","0.17498","282.05276"
"2.20000","0.18324","294.94254"
"2.30000","0.19181","307.90125"
"2.40000","0.20038","323.36096"
"2.50000","0.20884","335.97885"
"2.60000","0.21691","349.29565"
"2.70000","0.22497","361.63458"
"2.80000","0.23303","373.76199"
"2.90000","0.24160","386.59769"
"3.00000","0.25017","400.68231"
"3.10000","0.25864","413.49530"
"3.20000","0.26690","425.57098"
"3.30000","0.27517","438.38867"
"3.40000","0.28333","450.55524"
"3.50000","0.29160","462.87616"
"3.60000","0.29986","475.21194"
"3.70000","0.30853","486.83243"
"3.80000","0.31700","499.00058"
"3.90000","0.32526","511.45547"
"4.00000","0.33343","523.60559"
"4.10000","0.34169","535.68207"
"4.20000","0.35006","548.53577"
"4.30000","0.35842","561.04474"
"4.40000","0.36699","572.66913"
"4.50000","0.37536","584.52307"
"4.60000","0.38392","597.10333"
"4.70000","0.39199","609.19702"
"4.80000","0.39995","620.73755"
"4.90000","0.40842","632.11670"
"5.00000","0.41688","643.96045"
"5.10000","0.42505","654.60229"
"5.20000","0.43341","666.86292"
"5.30000","0.44208","678.05713"
"5.40000","0.45004","688.70129"
"5.50000","0.45821","699.86572"
"5.60000","0.46657","709.87994"
"5.70000","0.47514","722.19617"
"5.80000","0.48361","732.56848"
"5.90000","0.49177","744.30096"
"6.00000","0.50014","755.23120"
"6.10000","0.50820","764.98920"
"6.20000","0.51626","775.77594"
"6.30000","0.52473","786.90204"
"6.40000","0.53350","797.62061"
"6.50000","0.54197","809.17682"
"6.60000","0.54983","819.61731"
"6.70000","0.55830","830.86090"
"6.80000","0.56686","842.00336"
"6.90000","0.57523","852.72119"
"7.00000","0.58349","862.45099"
"7.10000","0.59206","872.34613"
"7.20000","0.60053","883.42279"
"7.30000","0.60869","893.20746"
"7.40000","0.61696","902.68347"
"7.50000","0.62502","912.58167"
"7.60000","0.63329","922.29669"
"7.70000","0.64165","932.12201"
"7.80000","0.65012","941.08789"
"7.90000","0.65859","951.70148"
"8.00000","0.66685","961.12268"
"8.10000","0.67532","971.64612"
"8.20000","0.68348","981.16992"
"8.30000","0.69155","990.95770"
"8.40000","0.69991","1000.82068"
"8.50000","0.70848","1009.83356"
"8.60000","0.71695","1020.64545"
"8.70000","0.72521","1029.23450"
"8.80000","0.73327","1038.37109"
"8.90000","0.74134","1047.42627"
"9.00000","0.74980","1055.51392"
"9.10000","0.75847","1064.24304"
"9.20000","0.76684","1073.01001"
"9.30000","0.77520","1081.29419"
"9.40000","0.78347","1090.15894"
"9.50000","0.79163","1096.94666"
"9.60000","0.79990","1105.32568"
"9.70000","0.80826","1113.59424"
"9.80000","0.81673","1122.42847"
"9.90000","0.82520","1131.37317"
"10.00000","0.83387","1140.45178"
"10.10000","0.84223","1147.69238"
"10.20000","0.85009","1155.64282"
"10.30000","0.85826","1163.96936"
"10.40000","0.86672","1172.45496"
"10.50000","0.87549","1180.73364"
"10.60000","0.88366","1189.05945"
"10.70000","0.89192","1197.51440"
"10.80000","0.90029","1206.07751"
"10.90000","0.90825","1213.03674"
"11.00000","0.91621","1221.36182"
"11.10000","0.92488","1229.88879"
"11.20000","0.93355","1239.75574"
"11.30000","0.94202","1248.02429"
"11.40000","0.95028","1255.98022"
"11.50000","0.95845","1263.70264"
"11.60000","0.96641","1271.82935"
"11.70000","0.97447","1279.78137"
"11.80000","0.98324","1289.53308"
"11.90000","0.99171","1297.81177"
"12.00000","1.00018","1305.13147"
"12.10000","1.00844","1313.47363"
"12.20000","1.01660","1319.95422"
"12.30000","1.02507","1328.72656"
"12.40000","1.03324","1337.24268"
"12.50000","1.04180","1345.65381"
"12.60000","1.05037","1352.57788"
"12.70000","1.05874","1359.01929"
"12.80000","1.06700","1368.50378"
"12.90000","1.07506","1375.42773"
"13.00000","1.08323","1381.22900"
"13.10000","1.09149","1389.34314"
"13.20000","1.10006","1397.41577"
"13.30000","1.10893","1405.53076"
"13.40000","1.11710","1412.98523"
"13.50000","1.12516","1420.96863"
"13.60000","1.13332","1427.30579"
"13.70000","1.14159","1434.25098"
"13.80000","1.14995","1441.35510"
"13.90000","1.15852","1450.17444"
"14.00000","1.16709","1457.54663"
"14.10000","1.17535","1464.50745"
"14.20000","1.18352","1472.41406"
"14.30000","1.19138","1477.66125"
"14.40000","1.19965","1485.06409"
"14.50000","1.20831","1491.85242"
"14.60000","1.21678","1499.88989"
"14.70000","1.22525","1508.58313"
"14.80000","1.23392","1514.69775"
"14.90000","1.24198","1522.17102"
"15.00000","1.24974","1528.60767"
"15.10000","1.25811","1536.63721"
"15.20000","1.26657","1544.63306"
"15.30000","1.27524","1551.40820"
"15.40000","1.28361","1560.15393"
"15.50000","1.29197","1567.25647"
"15.60000","1.30014","1574.95386"
"15.70000","1.30830","1582.76562"
"15.80000","1.31657","1589.96936"
"15.90000","1.32513","1598.76367"
"16.00000","1.33380","1605.12512"
"16.10000","1.34197","1613.48523"
"16.20000","1.35003","1620.87622"
"16.30000","1.35850","1628.23120"
"16.40000","1.36666","1635.42944"
"16.50000","1.37503","1643.72461"
"16.60000","1.38339","1650.13684"
"16.70000","1.39196","1657.86414"
"16.80000","1.40033","1665.93896"
"16.90000","1.40849","1672.79407"
"17.00000","1.41655","1680.56042"
"17.10000","1.42472","1687.94910"
"17.20000","1.43298","1695.64246"
"17.30000","1.44145","1703.82800"
"17.40000","1.45032","1711.52930"
"17.50000","1.45879","1719.22424"
"17.60000","1.46695","1725.65613"
"17.70000","1.47491","1733.40369"
"17.80000","1.48308","1740.11694"
"17.90000","1.49185","1748.59241"
"18.00000","1.50051","1756.80518"
"18.10000","1.50868","1763.15027"
"18.20000","1.51684","1770.14856"
"18.30000","1.52511","1777.72766"
"18.40000","1.53327","1785.44312"
"18.50000","1.54164","1792.15393"
"18.60000","1.55021","1799.67737"
"18.70000","1.55857","1808.06494"
"18.80000","1.56714","1815.76941"
"18.90000","1.57530","1823.55530"
"19.00000","1.58337","1830.11255"
"19.10000","1.59173","1838.37732"
"19.20000","1.60000","1844.99719"
"19.30000","1.60836","1852.82776"
"19.40000","1.61673","1859.85437"
"19.50000","1.62540","1867.23596"
"19.60000","1.63386","1875.20752"
"19.70000","1.64173","1883.23706"
"19.80000","1.64969","1888.61133"
"19.90000","1.65806","1896.96143"
"20.00000","1.66682","1903.89795"
"20.10000","1.67529","1911.45032"
"20.20000","1.68346","1919.02075"
"20.30000","1.69192","1926.32788"
"20.40000","1.69988","1933.66235"
"20.50000","1.70795","1940.10535"
"20.60000","1.71652","1947.18835"
"20.70000","1.72528","1956.17859"
"20.80000","1.73365","1963.14954"
"20.90000","1.74181","1971.26233"
"21.00000","1.75028","1979.45874"
"21.10000","1.75855","1986.23999"
"21.20000","1.76671","1993.41724"
"21.30000","1.77508","2000.52051"
"21.40000","1.78374","2008.87134"
"21.50000","1.79211","2016.61023"
"21.60000","1.80038","2024.12585"
"21.70000","1.80844","2030.26160"
"21.80000","1.81660","2038.22778"
"21.90000","1.82477","2045.18066"
"22.00000","1.83323","2052.62500"
"22.10000","1.84180","2060.38110"
"22.20000","1.85037","2067.79810"
"22.30000","1.85863","2076.31323"
"22.40000","1.86670","2083.11499"
"22.50000","1.87476","2089.42554"
"22.60000","1.88293","2098.04688"
"22.70000","1.89170","2105.90161"
"22.80000","1.90016","2114.31812"
"22.90000","1.90863","2121.03931"
"23.00000","1.91689","2128.53223"
"23.10000","1.92506","2136.01953"
"23.20000","1.93322","2143.41992"
"23.30000","1.94159","2150.01318"
"23.40000","1.95026","2157.89087"
"23.50000","1.95872","2166.80811"
"23.60000","1.96699","2174.29370"
"23.70000","1.97535","2181.47729"
"23.80000","1.98342","2188.93726"
"23.90000","1.99158","2195.22729"
"24.00000","2.00005","2203.63843"
"24.10000","2.00851","2211.16797"
"24.20000","2.01688","2218.69067"
"24.30000","2.02525","2225.96875"
"24.40000","2.03391","2234.38696"
"24.50000","2.04188","2241.40356"
"24.60000","2.04974","2248.61987"
"24.70000","2.05821","2255.72705"
"24.80000","2.06697","2263.87280"
"24.90000","2.07524","2272.18115"
"25.00000","2.08361","2279.16846"
"25.10000","2.09187","2287.48096"
"25.20000","2.09973","2293.00342"
"25.30000","2.10790","2300.74365"
"25.40000","2.11667","2308.49048"
"25.50000","2.12544","2315.91357"
"25.60000","2.13370","2323.36963"
"25.70000","2.14176","2329.88159"
"25.80000","2.15003","2336.97388"
"25.90000","2.15839","2344.03418"
"26.00000","2.16656","2351.61646"
"26.10000","2.17503","2358.58032"
"26.20000","2.18359","2366.52710"
"26.30000","2.19196","2373.79102"
"26.40000","2.20043","2381.29932"
"26.50000","2.20839","2388.90063"
"26.60000","2.21645","2395.25562"
"26.70000","2.22472","2403.87598"
"26.80000","2.23328","2412.70557"
"26.90000","2.24185","2419.52539"
