General : Start date,"10/29/2024 10:44 AM"
General : End date,"10/29/2024 10:45 AM"
Specimen notes : Specimen note 1,"Day 2, green, 230, batch 1, seq 40"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.63567"
"0.10000","0.00101","0.20630"
"0.20000","0.00756","6.56460"
"0.30000","0.02167","31.45170"
"0.40000","0.03205","52.10619"
"0.50000","0.04012","65.55147"
"0.60000","0.04909","80.86390"
"0.70000","0.05816","95.20396"
"0.80000","0.06683","109.62944"
"0.90000","0.07519","122.81772"
"1.00000","0.08366","136.53333"
"1.10000","0.09202","149.93159"
"1.20000","0.10019","162.90442"
"1.30000","0.10835","176.30739"
"1.40000","0.11682","189.44162"
"1.50000","0.12549","202.89551"
"1.60000","0.13385","216.58762"
"1.70000","0.14202","229.55101"
"1.80000","0.15008","242.54422"
"1.90000","0.15835","255.06572"
"2.00000","0.16671","268.21246"
"2.10000","0.17528","281.14767"
"2.20000","0.18365","295.43683"
"2.30000","0.19221","309.01373"
"2.40000","0.20038","321.81812"
"2.50000","0.20824","334.07401"
"2.60000","0.21650","345.99692"
"2.70000","0.22507","360.08704"
"2.80000","0.23344","373.07239"
"2.90000","0.24180","386.33588"
"3.00000","0.25017","398.60037"
"3.10000","0.25843","411.02396"
"3.20000","0.26660","422.90845"
"3.30000","0.27497","435.92831"
"3.40000","0.28333","448.91522"
"3.50000","0.29180","461.15619"
"3.60000","0.30026","474.30377"
"3.70000","0.30863","485.82861"
"3.80000","0.31700","497.69119"
"3.90000","0.32496","510.10376"
"4.00000","0.33312","522.28131"
"4.10000","0.34189","535.08960"
"4.20000","0.35056","547.63464"
"4.30000","0.35903","559.67035"
"4.40000","0.36719","570.71100"
"4.50000","0.37536","582.13007"
"4.60000","0.38332","593.23029"
"4.70000","0.39158","604.06171"
"4.80000","0.40025","616.86218"
"4.90000","0.40872","628.43250"
"5.00000","0.41708","639.88214"
"5.10000","0.42515","651.07715"
"5.20000","0.43331","661.76288"
"5.30000","0.44138","672.56683"
"5.40000","0.44984","684.01727"
"5.50000","0.45851","695.69806"
"5.60000","0.46698","706.86957"
"5.70000","0.47534","717.86243"
"5.80000","0.48351","728.16730"
"5.90000","0.49157","738.30145"
"6.00000","0.49973","749.24182"
"6.10000","0.50830","759.47308"
"6.20000","0.51687","770.91174"
"6.30000","0.52544","781.72357"
"6.40000","0.53360","791.08514"
"6.50000","0.54187","802.32166"
"6.60000","0.55013","812.50116"
"6.70000","0.55830","821.88702"
"6.80000","0.56676","833.02643"
"6.90000","0.57523","843.57343"
"7.00000","0.58380","854.82959"
"7.10000","0.59206","864.38458"
"7.20000","0.60023","874.70209"
"7.30000","0.60809","882.85468"
"7.40000","0.61655","891.11847"
"7.50000","0.62522","899.99353"
"7.60000","0.63339","908.36853"
"7.70000","0.64175","917.39557"
"7.80000","0.65052","926.32391"
"7.90000","0.65848","933.81909"
"8.00000","0.66655","942.37195"
"8.10000","0.67491","950.85211"
"8.20000","0.68358","959.13782"
"8.30000","0.69185","967.72760"
"8.40000","0.70001","976.27985"
"8.50000","0.70838","985.59595"
"8.60000","0.71644","993.96313"
"8.70000","0.72461","1002.23718"
"8.80000","0.73307","1011.09491"
"8.90000","0.74194","1020.95642"
"9.00000","0.75041","1029.37219"
"9.10000","0.75817","1037.20435"
"9.20000","0.76654","1045.50659"
"9.30000","0.77510","1054.80078"
"9.40000","0.78337","1063.93970"
"9.50000","0.79183","1072.42297"
"9.60000","0.80050","1080.77075"
"9.70000","0.80877","1089.42700"
"9.80000","0.81713","1097.93213"
"9.90000","0.82520","1105.67432"
"10.00000","0.83326","1113.89734"
"10.10000","0.84163","1121.82031"
"10.20000","0.85019","1130.90210"
"10.30000","0.85846","1139.52563"
"10.40000","0.86703","1148.39587"
"10.50000","0.87539","1156.52734"
"10.60000","0.88356","1165.17737"
"10.70000","0.89162","1173.90430"
"10.80000","0.89978","1181.45752"
"10.90000","0.90835","1190.51819"
"11.00000","0.91712","1199.84766"
"11.10000","0.92529","1208.64587"
"11.20000","0.93355","1216.12292"
"11.30000","0.94151","1224.75269"
"11.40000","0.94978","1232.82153"
"11.50000","0.95825","1242.27234"
"11.60000","0.96691","1250.62317"
"11.70000","0.97528","1259.09705"
"11.80000","0.98365","1267.97742"
"11.90000","0.99191","1277.14075"
"12.00000","1.00018","1285.56519"
"12.10000","1.00834","1293.65906"
"12.20000","1.01671","1301.80615"
"12.30000","1.02497","1310.12708"
"12.40000","1.03354","1319.72449"
"12.50000","1.04221","1328.74292"
"12.60000","1.05057","1336.95422"
"12.70000","1.05843","1345.59570"
"12.80000","1.06660","1353.10742"
"12.90000","1.07506","1362.55981"
"13.00000","1.08383","1371.83911"
"13.10000","1.09200","1379.79736"
"13.20000","1.10026","1387.68274"
"13.30000","1.10863","1396.83191"
"13.40000","1.11669","1405.71948"
"13.50000","1.12476","1413.19983"
"13.60000","1.13342","1422.18530"
"13.70000","1.14199","1430.37622"
"13.80000","1.15026","1439.12122"
"13.90000","1.15842","1447.61450"
"14.00000","1.16669","1455.79700"
"14.10000","1.17465","1462.96069"
"14.20000","1.18291","1471.53638"
"14.30000","1.19158","1480.58997"
"14.40000","1.20015","1490.56982"
"14.50000","1.20841","1498.19739"
"14.60000","1.21688","1506.93921"
"14.70000","1.22505","1514.87158"
"14.80000","1.23331","1522.36597"
"14.90000","1.24158","1530.60168"
"15.00000","1.25014","1539.85034"
"15.10000","1.25881","1547.84070"
"15.20000","1.26718","1555.71667"
"15.30000","1.27544","1564.03687"
"15.40000","1.28341","1572.23499"
"15.50000","1.29147","1580.65320"
"15.60000","1.29973","1589.11682"
"15.70000","1.30850","1597.80444"
"15.80000","1.31727","1606.63477"
"15.90000","1.32544","1614.77722"
"16.00000","1.33350","1622.22925"
"16.10000","1.34166","1632.15100"
"16.20000","1.34993","1639.27808"
"16.30000","1.35830","1648.22363"
"16.40000","1.36706","1657.63367"
"16.50000","1.37533","1666.01965"
"16.60000","1.38359","1673.17017"
"16.70000","1.39186","1682.53650"
"16.80000","1.39992","1689.70874"
"16.90000","1.40829","1697.79150"
"17.00000","1.41676","1705.37695"
"17.10000","1.42492","1713.92603"
"17.20000","1.43339","1722.43738"
"17.30000","1.44216","1731.36084"
"17.40000","1.45022","1737.57678"
"17.50000","1.45798","1746.14990"
"17.60000","1.46635","1755.02966"
"17.70000","1.47511","1761.97644"
"17.80000","1.48378","1771.02222"
"17.90000","1.49205","1778.81982"
"18.00000","1.50031","1787.31641"
"18.10000","1.50858","1794.66345"
"18.20000","1.51664","1803.98279"
"18.30000","1.52491","1810.33801"
"18.40000","1.53358","1819.07581"
"18.50000","1.54224","1826.97681"
"18.60000","1.55031","1834.10217"
"18.70000","1.55837","1841.86523"
"18.80000","1.56684","1848.58960"
"18.90000","1.57500","1856.47034"
"19.00000","1.58327","1863.95850"
"19.10000","1.59183","1871.42065"
"19.20000","1.60030","1878.97632"
"19.30000","1.60877","1886.32642"
"19.40000","1.61693","1893.49329"
"19.50000","1.62479","1900.75745"
"19.60000","1.63306","1908.00745"
"19.70000","1.64132","1914.97449"
"19.80000","1.65009","1923.16858"
"19.90000","1.65876","1930.07849"
"20.00000","1.66723","1938.00391"
"20.10000","1.67529","1945.00854"
"20.20000","1.68325","1952.50061"
"20.30000","1.69142","1959.63135"
"20.40000","1.70009","1968.55200"
"20.50000","1.70875","1976.06909"
"20.60000","1.71712","1982.61145"
"20.70000","1.72528","1990.40674"
"20.80000","1.73345","1997.82678"
"20.90000","1.74161","2004.95923"
"21.00000","1.74998","2012.43164"
"21.10000","1.75855","2019.43555"
"21.20000","1.76711","2028.03870"
"21.30000","1.77558","2035.78455"
"21.40000","1.78385","2043.49219"
"21.50000","1.79181","2050.58130"
"21.60000","1.80007","2058.33594"
"21.70000","1.80834","2065.67603"
"21.80000","1.81670","2072.92212"
"21.90000","1.82517","2080.26367"
"22.00000","1.83384","2087.19092"
"22.10000","1.84221","2095.78687"
"22.20000","1.85007","2102.85278"
"22.30000","1.85803","2109.76660"
"22.40000","1.86650","2118.45898"
"22.50000","1.87527","2125.21924"
"22.60000","1.88363","2133.55835"
"22.70000","1.89190","2140.33252"
"22.80000","1.90026","2147.86694"
"22.90000","1.90823","2155.37085"
"23.00000","1.91639","2162.30127"
"23.10000","1.92496","2170.36597"
"23.20000","1.93373","2179.47217"
"23.30000","1.94209","2186.24390"
"23.40000","1.95016","2194.45312"
"23.50000","1.95862","2201.43188"
"23.60000","1.96689","2208.31982"
"23.70000","1.97515","2215.38403"
"23.80000","1.98362","2224.68628"
"23.90000","1.99209","2231.93066"
"24.00000","2.00045","2240.20923"
"24.10000","2.00872","2248.20752"
"24.20000","2.01678","2254.08569"
"24.30000","2.02494","2260.87085"
"24.40000","2.03311","2268.84570"
"24.50000","2.04168","2276.10181"
"24.60000","2.05024","2284.83667"
"24.70000","2.05871","2292.67334"
"24.80000","2.06697","2299.59106"
"24.90000","2.07504","2307.06592"
"25.00000","2.08300","2314.06982"
"25.10000","2.09137","2320.95483"
"25.20000","2.10004","2329.21460"
"25.30000","2.10840","2337.20898"
"25.40000","2.11687","2344.84277"
"25.50000","2.12513","2352.32715"
"25.60000","2.13330","2360.64331"
"25.70000","2.14156","2366.80273"
"25.80000","2.15003","2375.29053"
"25.90000","2.15870","2383.87402"
"26.00000","2.16716","2391.71729"
"26.10000","2.17543","2399.25073"
"26.20000","2.18379","2406.33228"
"26.30000","2.19176","2413.49072"
"26.40000","2.19992","2420.64331"
"26.50000","2.20849","2428.84595"
"26.60000","2.21686","2436.41504"
"26.70000","2.22512","2443.89673"
"26.80000","2.23369","2452.20605"
"26.90000","2.24226","2459.31812"
