General : Start date,"10/29/2024 10:49 AM"
General : End date,"10/29/2024 10:49 AM"
Specimen notes : Specimen note 1,"Day 2, black, 230, batch 5, seq 42"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","1.16078"
"0.10000","0.00131","0.55198"
"0.20000","0.00998","11.48998"
"0.30000","0.02308","36.16082"
"0.40000","0.03225","53.72196"
"0.50000","0.04082","68.68416"
"0.60000","0.04959","83.01560"
"0.70000","0.05786","96.49145"
"0.80000","0.06632","109.81998"
"0.90000","0.07479","124.10207"
"1.00000","0.08336","138.20473"
"1.10000","0.09192","150.85239"
"1.20000","0.10039","164.90019"
"1.30000","0.10855","177.74217"
"1.40000","0.11692","191.33554"
"1.50000","0.12508","203.64392"
"1.60000","0.13315","217.26003"
"1.70000","0.14162","229.76114"
"1.80000","0.15038","244.38408"
"1.90000","0.15885","257.22211"
"2.00000","0.16702","269.50702"
"2.10000","0.17508","283.32681"
"2.20000","0.18324","296.20404"
"2.30000","0.19161","309.20663"
"2.40000","0.20018","322.44821"
"2.50000","0.20854","335.53934"
"2.60000","0.21711","349.28079"
"2.70000","0.22527","362.63364"
"2.80000","0.23314","373.99472"
"2.90000","0.24140","386.39246"
"3.00000","0.24987","399.22815"
"3.10000","0.25843","411.66190"
"3.20000","0.26680","423.64117"
"3.30000","0.27517","436.12039"
"3.40000","0.28333","447.43292"
"3.50000","0.29139","459.90353"
"3.60000","0.29966","472.00742"
"3.70000","0.30823","483.86603"
"3.80000","0.31679","496.92035"
"3.90000","0.32526","508.82678"
"4.00000","0.33332","520.07037"
"4.10000","0.34189","532.98755"
"4.20000","0.34996","544.92456"
"4.30000","0.35812","556.37891"
"4.40000","0.36679","569.24829"
"4.50000","0.37556","581.09674"
"4.60000","0.38382","591.91254"
"4.70000","0.39209","602.99158"
"4.80000","0.40025","614.51251"
"4.90000","0.40832","624.29559"
"5.00000","0.41648","635.16388"
"5.10000","0.42505","646.65112"
"5.20000","0.43372","658.51208"
"5.30000","0.44198","668.60864"
"5.40000","0.45014","679.61243"
"5.50000","0.45821","689.77710"
"5.60000","0.46637","699.22803"
"5.70000","0.47484","709.82123"
"5.80000","0.48351","720.94104"
"5.90000","0.49197","732.52386"
"6.00000","0.50024","742.55847"
"6.10000","0.50840","753.18463"
"6.20000","0.51647","762.31665"
"6.30000","0.52483","772.58472"
"6.40000","0.53320","782.36542"
"6.50000","0.54177","792.32397"
"6.60000","0.55033","802.62262"
"6.70000","0.55850","812.12140"
"6.80000","0.56676","822.58142"
"6.90000","0.57493","831.90930"
"7.00000","0.58329","842.47504"
"7.10000","0.59166","851.96674"
"7.20000","0.60023","861.85327"
"7.30000","0.60869","871.56659"
"7.40000","0.61696","880.67499"
"7.50000","0.62512","888.09186"
"7.60000","0.63308","896.12610"
"7.70000","0.64155","903.79370"
"7.80000","0.65012","911.65015"
"7.90000","0.65838","920.23285"
"8.00000","0.66665","928.69177"
"8.10000","0.67532","938.48279"
"8.20000","0.68358","945.10504"
"8.30000","0.69155","953.91583"
"8.40000","0.69981","961.47211"
"8.50000","0.70828","968.84351"
"8.60000","0.71674","977.91833"
"8.70000","0.72501","986.84735"
"8.80000","0.73337","994.23285"
"8.90000","0.74154","1003.00208"
"9.00000","0.74950","1010.45734"
"9.10000","0.75797","1018.98602"
"9.20000","0.76684","1028.87402"
"9.30000","0.77541","1036.67566"
"9.40000","0.78307","1044.91443"
"9.50000","0.79153","1053.62561"
"9.60000","0.80020","1062.41284"
"9.70000","0.80847","1071.14124"
"9.80000","0.81673","1078.45081"
"9.90000","0.82530","1086.44592"
"10.00000","0.83376","1094.45349"
"10.10000","0.84203","1103.01501"
"10.20000","0.85019","1110.75708"
"10.30000","0.85816","1117.86047"
"10.40000","0.86652","1125.79761"
"10.50000","0.87489","1134.24402"
"10.60000","0.88336","1142.03149"
"10.70000","0.89182","1150.34790"
"10.80000","0.90039","1157.99890"
"10.90000","0.90865","1166.63416"
"11.00000","0.91662","1174.21155"
"11.10000","0.92478","1182.08691"
"11.20000","0.93315","1190.38672"
"11.30000","0.94202","1199.60181"
"11.40000","0.95028","1206.94800"
"11.50000","0.95845","1215.17188"
"11.60000","0.96651","1222.85046"
"11.70000","0.97467","1229.89587"
"11.80000","0.98314","1238.12134"
"11.90000","0.99161","1246.16821"
"12.00000","1.00018","1254.82227"
"12.10000","1.00854","1263.47156"
"12.20000","1.01691","1270.90649"
"12.30000","1.02507","1279.03857"
"12.40000","1.03313","1285.59290"
"12.50000","1.04150","1292.49329"
"12.60000","1.04987","1300.95374"
"12.70000","1.05853","1309.53345"
"12.80000","1.06710","1316.91736"
"12.90000","1.07557","1324.76282"
"13.00000","1.08343","1332.16711"
"13.10000","1.09139","1340.49512"
"13.20000","1.09986","1348.10718"
"13.30000","1.10873","1356.08032"
"13.40000","1.11699","1363.64209"
"13.50000","1.12526","1371.30566"
"13.60000","1.13363","1377.92261"
"13.70000","1.14159","1385.45544"
"13.80000","1.14965","1392.67554"
"13.90000","1.15832","1399.88635"
"14.00000","1.16699","1407.46069"
"14.10000","1.17535","1415.80054"
"14.20000","1.18332","1422.35938"
"14.30000","1.19158","1428.95911"
"14.40000","1.19965","1436.32886"
"14.50000","1.20791","1443.51221"
"14.60000","1.21648","1451.34668"
"14.70000","1.22495","1458.24792"
"14.80000","1.23331","1466.34338"
"14.90000","1.24178","1473.28455"
"15.00000","1.24994","1479.62952"
"15.10000","1.25811","1486.65149"
"15.20000","1.26657","1494.18591"
"15.30000","1.27504","1501.77588"
"15.40000","1.28371","1508.92712"
"15.50000","1.29217","1516.45752"
"15.60000","1.30044","1523.80469"
"15.70000","1.30860","1531.13770"
"15.80000","1.31647","1537.79846"
"15.90000","1.32473","1544.89246"
"16.00000","1.33340","1552.91968"
"16.10000","1.34217","1560.74316"
"16.20000","1.35033","1567.64758"
"16.30000","1.35830","1575.96228"
"16.40000","1.36656","1582.83862"
"16.50000","1.37493","1589.91064"
"16.60000","1.38329","1597.29529"
"16.70000","1.39186","1604.77478"
"16.80000","1.40033","1612.76685"
"16.90000","1.40849","1620.35840"
"17.00000","1.41676","1627.07861"
"17.10000","1.42472","1634.32935"
"17.20000","1.43308","1641.15466"
"17.30000","1.44185","1650.19812"
"17.40000","1.45012","1657.16296"
"17.50000","1.45838","1664.28662"
"17.60000","1.46705","1671.33142"
"17.70000","1.47542","1678.96667"
"17.80000","1.48308","1686.40637"
"17.90000","1.49134","1692.66760"
"18.00000","1.50001","1700.55762"
"18.10000","1.50868","1708.22986"
"18.20000","1.51694","1715.18359"
"18.30000","1.52521","1722.21655"
"18.40000","1.53337","1729.24402"
"18.50000","1.54164","1737.77905"
"18.60000","1.54990","1743.86389"
"18.70000","1.55847","1751.95203"
"18.80000","1.56724","1760.29602"
"18.90000","1.57530","1767.11255"
"19.00000","1.58337","1774.26538"
"19.10000","1.59173","1781.93298"
"19.20000","1.59990","1788.83118"
"19.30000","1.60826","1795.96582"
"19.40000","1.61673","1804.05261"
"19.50000","1.62520","1812.47559"
"19.60000","1.63366","1819.45996"
"19.70000","1.64173","1826.34631"
"19.80000","1.64989","1834.50354"
"19.90000","1.65826","1840.88757"
"20.00000","1.66652","1848.97839"
"20.10000","1.67489","1856.34973"
"20.20000","1.68346","1863.27380"
"20.30000","1.69192","1872.00134"
"20.40000","1.70019","1878.04004"
"20.50000","1.70825","1885.81665"
"20.60000","1.71631","1892.25464"
"20.70000","1.72498","1900.65088"
"20.80000","1.73375","1909.40686"
"20.90000","1.74202","1914.97070"
"21.00000","1.75028","1922.94470"
"21.10000","1.75845","1929.38599"
"21.20000","1.76661","1937.31909"
"21.30000","1.77488","1945.19373"
"21.40000","1.78334","1952.61133"
"21.50000","1.79201","1960.33679"
"21.60000","1.80048","1967.76221"
"21.70000","1.80874","1975.85767"
"21.80000","1.81681","1982.64062"
"21.90000","1.82497","1989.63904"
"22.00000","1.83334","1997.09033"
"22.10000","1.84140","2004.00110"
"22.20000","1.84976","2011.86536"
"22.30000","1.85843","2020.13147"
"22.40000","1.86700","2027.22620"
"22.50000","1.87516","2034.29443"
"22.60000","1.88313","2041.99890"
"22.70000","1.89139","2049.57251"
"22.80000","1.90006","2058.37231"
"22.90000","1.90843","2064.64038"
"23.00000","1.91689","2073.13379"
"23.10000","1.92546","2081.21753"
"23.20000","1.93342","2088.67261"
"23.30000","1.94139","2094.47705"
"23.40000","1.94975","2101.98169"
"23.50000","1.95862","2110.24536"
"23.60000","1.96709","2117.49536"
"23.70000","1.97525","2125.39258"
"23.80000","1.98362","2133.93994"
"23.90000","1.99188","2140.02490"
"24.00000","2.00005","2147.42358"
"24.10000","2.00841","2155.57300"
"24.20000","2.01698","2162.84888"
"24.30000","2.02535","2170.97632"
"24.40000","2.03361","2178.67139"
"24.50000","2.04178","2186.38989"
"24.60000","2.04984","2193.21997"
"24.70000","2.05810","2200.59448"
"24.80000","2.06657","2209.14746"
"24.90000","2.07514","2217.37427"
"25.00000","2.08361","2224.25854"
"25.10000","2.09197","2231.61719"
"25.20000","2.10014","2238.52344"
"25.30000","2.10800","2245.35083"
"25.40000","2.11626","2253.06567"
"25.50000","2.12483","2261.26904"
"25.60000","2.13330","2269.43164"
"25.70000","2.14186","2276.78125"
"25.80000","2.15013","2284.03760"
"25.90000","2.15829","2291.23877"
"26.00000","2.16656","2298.26855"
"26.10000","2.17482","2306.15649"
"26.20000","2.18359","2313.87866"
"26.30000","2.19196","2322.40674"
"26.40000","2.20033","2329.07153"
"26.50000","2.20869","2337.01245"
"26.60000","2.21665","2344.64551"
"26.70000","2.22472","2350.30957"
"26.80000","2.23339","2359.55127"
"26.90000","2.24185","2367.23999"
"27.00000","2.25012","2375.28516"
