General : Start date,"10/22/2024 9:21 AM"
General : End date,"10/22/2024 9:21 AM"
Specimen notes : Specimen note 1,"red, 200, batch 2, seq 5"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.29059"
"0.10000","0.00262","2.05058"
"0.20000","0.01472","21.19757"
"0.30000","0.02580","43.78424"
"0.40000","0.03336","57.56330"
"0.50000","0.04173","72.38837"
"0.60000","0.05020","87.45164"
"0.70000","0.05836","101.37252"
"0.80000","0.06652","116.11845"
"0.90000","0.07509","131.48651"
"1.00000","0.08366","147.72113"
"1.10000","0.09202","161.95935"
"1.20000","0.10039","176.42087"
"1.30000","0.10855","191.56404"
"1.40000","0.11682","205.59775"
"1.50000","0.12529","220.47533"
"1.60000","0.13395","234.96190"
"1.70000","0.14232","250.45847"
"1.80000","0.15038","264.96307"
"1.90000","0.15855","278.38876"
"2.00000","0.16691","293.39798"
"2.10000","0.17508","306.87616"
"2.20000","0.18334","321.83835"
"2.30000","0.19201","336.48398"
"2.40000","0.20058","351.72745"
"2.50000","0.20884","365.51434"
"2.60000","0.21701","379.35767"
"2.70000","0.22527","392.91266"
"2.80000","0.23354","407.53241"
"2.90000","0.24190","422.21490"
"3.00000","0.25017","435.30444"
"3.10000","0.25874","450.26819"
"3.20000","0.26730","465.11990"
"3.30000","0.27547","478.64746"
"3.40000","0.28353","491.98074"
"3.50000","0.29170","506.07788"
"3.60000","0.30006","519.91571"
"3.70000","0.30863","534.71265"
"3.80000","0.31710","548.51910"
"3.90000","0.32536","561.69720"
"4.00000","0.33322","575.54675"
"4.10000","0.34139","589.52246"
"4.20000","0.35006","603.32355"
"4.30000","0.35872","617.69958"
"4.40000","0.36709","631.89862"
"4.50000","0.37536","647.33722"
"4.60000","0.38372","659.85480"
"4.70000","0.39209","674.57806"
"4.80000","0.40025","688.10321"
"4.90000","0.40862","701.53833"
"5.00000","0.41708","715.76636"
"5.10000","0.42535","729.02045"
"5.20000","0.43382","743.21948"
"5.30000","0.44218","756.57465"
"5.40000","0.45004","769.58508"
"5.50000","0.45821","782.31738"
"5.60000","0.46678","796.23041"
"5.70000","0.47534","811.30463"
"5.80000","0.48371","825.39551"
"5.90000","0.49218","839.44647"
"6.00000","0.50054","852.06042"
"6.10000","0.50850","865.52844"
"6.20000","0.51647","878.82874"
"6.30000","0.52493","892.63220"
"6.40000","0.53370","906.71442"
"6.50000","0.54217","919.35657"
"6.60000","0.55053","933.16699"
"6.70000","0.55870","946.24872"
"6.80000","0.56686","959.69482"
"6.90000","0.57493","971.78540"
"7.00000","0.58360","985.46576"
"7.10000","0.59216","999.62872"
"7.20000","0.60023","1012.50671"
"7.30000","0.60829","1025.28210"
"7.40000","0.61655","1037.86389"
"7.50000","0.62492","1050.84460"
"7.60000","0.63329","1064.41443"
"7.70000","0.64175","1077.89575"
"7.80000","0.65042","1090.94226"
"7.90000","0.65899","1104.55444"
"8.00000","0.66715","1117.20520"
"8.10000","0.67512","1128.30310"
"8.20000","0.68328","1140.28235"
"8.30000","0.69175","1153.69397"
"8.40000","0.70021","1166.34399"
"8.50000","0.70868","1179.42407"
"8.60000","0.71725","1191.67615"
"8.70000","0.72541","1204.23291"
"8.80000","0.73317","1216.70813"
"8.90000","0.74154","1229.05652"
"9.00000","0.75001","1241.55054"
"9.10000","0.75867","1253.99683"
"9.20000","0.76724","1266.29346"
"9.30000","0.77561","1279.62915"
"9.40000","0.78357","1291.85522"
"9.50000","0.79153","1303.29626"
"9.60000","0.79990","1315.71753"
"9.70000","0.80857","1328.38000"
"9.80000","0.81703","1341.60986"
"9.90000","0.82520","1352.73425"
"10.00000","0.83376","1364.03894"
"10.10000","0.84223","1376.45947"
"10.20000","0.85009","1388.11279"
"10.30000","0.85816","1400.20728"
"10.40000","0.86672","1411.91467"
"10.50000","0.87529","1424.88281"
"10.60000","0.88366","1436.51416"
"10.70000","0.89212","1448.43567"
"10.80000","0.90029","1461.34802"
"10.90000","0.90825","1472.49292"
"11.00000","0.91642","1483.57361"
"11.10000","0.92518","1495.81921"
"11.20000","0.93395","1508.14099"
"11.30000","0.94212","1519.55139"
"11.40000","0.95038","1531.45789"
"11.50000","0.95865","1543.61816"
"11.60000","0.96691","1554.72070"
"11.70000","0.97518","1566.29492"
"11.80000","0.98354","1577.08643"
"11.90000","0.99211","1589.71533"
"12.00000","1.00038","1600.46204"
"12.10000","1.00854","1611.51050"
"12.20000","1.01671","1622.71899"
"12.30000","1.02507","1634.26636"
"12.40000","1.03334","1645.63232"
"12.50000","1.04180","1656.62671"
"12.60000","1.05037","1668.98132"
"12.70000","1.05874","1680.16772"
"12.80000","1.06690","1690.72339"
"12.90000","1.07506","1701.75061"
"13.00000","1.08333","1711.32922"
"13.10000","1.09180","1722.68884"
"13.20000","1.10046","1735.17114"
"13.30000","1.10883","1747.02197"
"13.40000","1.11710","1757.60815"
"13.50000","1.12516","1767.87866"
"13.60000","1.13322","1778.93250"
"13.70000","1.14169","1789.35413"
"13.80000","1.15016","1800.77795"
"13.90000","1.15862","1812.23474"
"14.00000","1.16699","1823.75867"
"14.10000","1.17535","1834.11462"
"14.20000","1.18352","1844.19470"
"14.30000","1.19168","1855.29724"
"14.40000","1.20015","1865.52930"
"14.50000","1.20841","1876.83948"
"14.60000","1.21668","1887.53918"
"14.70000","1.22535","1899.25598"
"14.80000","1.23392","1910.43689"
"14.90000","1.24198","1920.69019"
"15.00000","1.24994","1929.96399"
"15.10000","1.25831","1940.85339"
"15.20000","1.26718","1952.23950"
"15.30000","1.27544","1963.37976"
"15.40000","1.28371","1974.18372"
"15.50000","1.29207","1984.30603"
"15.60000","1.30034","1995.89209"
"15.70000","1.30840","2005.41504"
"15.80000","1.31667","2014.73743"
"15.90000","1.32554","2026.21057"
"16.00000","1.33390","2037.09607"
"16.10000","1.34197","2047.79895"
"16.20000","1.35033","2057.89648"
"16.30000","1.35870","2068.53906"
"16.40000","1.36656","2077.76343"
"16.50000","1.37503","2087.78540"
"16.60000","1.38359","2099.70215"
"16.70000","1.39196","2109.77124"
"16.80000","1.40033","2118.40649"
"16.90000","1.40859","2128.71143"
"17.00000","1.41665","2137.44678"
"17.10000","1.42482","2146.73145"
"17.20000","1.43318","2156.72534"
"17.30000","1.44195","2167.75122"
"17.40000","1.45052","2176.21240"
"17.50000","1.45889","2184.06982"
"17.60000","1.46695","2192.58643"
"17.70000","1.47501","2199.37964"
"17.80000","1.48308","2207.90601"
"17.90000","1.49185","2217.37646"
"18.00000","1.50041","2227.13452"
"18.10000","1.50878","2235.87646"
"18.20000","1.51705","2244.34692"
"18.30000","1.52521","2254.77100"
"18.40000","1.53347","2263.26367"
"18.50000","1.54164","2271.77588"
"18.60000","1.55011","2282.94800"
"18.70000","1.55857","2292.20923"
"18.80000","1.56704","2301.90234"
"18.90000","1.57561","2311.86401"
"19.00000","1.58387","2321.46387"
"19.10000","1.59193","2330.82300"
"19.20000","1.60020","2340.22461"
"19.30000","1.60877","2348.96240"
"19.40000","1.61703","2358.11963"
"19.50000","1.62550","2368.08521"
"19.60000","1.63386","2377.02905"
"19.70000","1.64173","2385.13452"
"19.80000","1.64979","2393.25586"
"19.90000","1.65836","2403.25903"
"20.00000","1.66693","2413.72388"
"20.10000","1.67529","2422.67017"
"20.20000","1.68366","2432.27783"
"20.30000","1.69182","2440.97949"
"20.40000","1.70009","2451.03540"
"20.50000","1.70805","2459.64551"
"20.60000","1.71672","2470.06470"
"20.70000","1.72549","2479.24927"
"20.80000","1.73375","2488.27075"
"20.90000","1.74171","2496.98730"
"21.00000","1.75018","2507.05176"
"21.10000","1.75865","2516.93457"
"21.20000","1.76691","2525.48584"
"21.30000","1.77518","2534.99927"
"21.40000","1.78395","2544.24585"
"21.50000","1.79221","2553.89038"
"21.60000","1.80048","2562.18677"
"21.70000","1.80844","2570.81909"
"21.80000","1.81670","2579.48633"
"21.90000","1.82497","2589.25146"
"22.00000","1.83344","2598.06616"
"22.10000","1.84200","2608.23950"
"22.20000","1.85057","2617.50293"
"22.30000","1.85884","2627.30493"
"22.40000","1.86690","2636.13379"
"22.50000","1.87476","2643.77075"
"22.60000","1.88323","2653.77002"
"22.70000","1.89200","2662.73193"
"22.80000","1.90046","2671.84741"
"22.90000","1.90863","2681.15894"
"23.00000","1.91669","2690.38037"
"23.10000","1.92486","2699.47778"
"23.20000","1.93332","2708.41602"
"23.30000","1.94179","2717.09912"
"23.40000","1.95036","2726.67285"
"23.50000","1.95882","2736.11377"
"23.60000","1.96719","2745.28101"
"23.70000","1.97535","2754.44678"
"23.80000","1.98322","2762.37207"
"23.90000","1.99168","2771.52051"
"24.00000","2.00015","2781.79541"
"24.10000","2.00851","2790.02344"
"24.20000","2.01708","2800.33472"
"24.30000","2.02565","2808.67603"
"24.40000","2.03381","2817.87451"
"24.50000","2.04157","2825.35645"
"24.60000","2.04994","2834.14844"
"24.70000","2.05861","2843.39868"
"24.80000","2.06718","2852.94214"
"24.90000","2.07544","2861.02246"
"25.00000","2.08371","2870.95435"
"25.10000","2.09177","2878.90649"
"25.20000","2.09993","2886.77002"
"25.30000","2.10810","2896.02026"
"25.40000","2.11687","2904.46826"
"25.50000","2.12544","2913.80762"
"25.60000","2.13360","2922.76660"
"25.70000","2.14166","2931.54517"
"25.80000","2.15003","2940.31055"
"25.90000","2.15839","2949.13623"
"26.00000","2.16676","2957.65210"
"26.10000","2.17533","2966.34863"
"26.20000","2.18369","2975.15308"
"26.30000","2.19206","2984.21460"
"26.40000","2.20033","2993.04248"
"26.50000","2.20839","3000.22510"
"26.60000","2.21655","3008.79297"
"26.70000","2.22512","3017.59033"
"26.80000","2.23389","3026.88599"
"26.90000","2.24226","3036.50073"
