Description,UTS,Young_Modulus,Yield_Strength
Black_200C,49.4997311984624,1356.6499540173006,26.72985484716969
Blue_200C,46.74601221402443,1345.790675231278,29.014766201808268
Green_200C,45.58629502759005,1335.8808855587595,27.970981960722703
Purple_200C,48.666493303986606,1356.442557934967,27.520345485830266
Red_200C,50.66903069006138,1408.5734880975558,27.896432627112446
Black_215C,50.35987389174778,1307.9222292260952,18.574549147449385
Blue_215C,50.17236443672888,1229.8330591771294,16.878688220858884
Green_215C,49.06014563829128,1110.5369821243842,17.35161344837232
Purple_215C,47.21057641515283,1277.5333146502328,19.0042574552522
Red_215C,53.00838495876992,1347.0388737266082,20.419572416024213
Black_230C,48.61676678653357,1294.6525935513648,17.025709826053255
Blue_230C,48.51455059210118,1279.7038251193121,16.78974386688411
Green_230C,48.13696211792424,1265.061601414107,16.62913236801019
Purple_230C,45.40661575423151,1306.0399231662539,16.37615650152612
Red_230C,51.61302495504991,1316.3017648718755,16.83899848919582
