Sequence_Number,Color,Temperature,UTS,Young_Modulus,Yield_Strength
1,Black,200,49.526395312790626,1406.9381030696013,35.6921242482485
2,Black,200,49.00708078616157,1299.8193388092243,23.44812908425817
3,Black,200,50.02282918965838,1356.4085091669658,32.94015723231446
4,Purple,200,49.274371504743016,1333.8729948728885,25.60010552421105
5,Red,200,52.13095157790316,1363.249852664555,26.504393080786166
6,Purple,200,47.58645148490297,1299.3609399284865,25.762280612561224
7,Red,200,50.20964697129395,1408.752978054253,30.75467406534813
8,Blue,200,46.46037720875442,1392.2036252859643,31.446814061628125
9,Red,200,49.456745117490236,1370.2893140461108,29.935382478764957
10,Green,200,43.88561919523839,1328.4358777045675,28.67045272490545
11,Red,200,50.87877909355819,1416.3957855064573,31.838435116870237
12,Blue,200,47.06501469402939,1340.1196843041782,28.604680513361025
13,Green,200,46.177589435178874,1327.2386501316448,28.98857573315147
14,Blue,200,46.50960195920392,1324.825750932187,28.394358484716975
15,Green,200,46.46012896025792,1299.3790253705638,28.53981350362701
16,Green,200,45.82184251968504,1326.411100593412,30.146092008184016
17,Purple,200,48.61576551553103,1376.3152813789009,38.16394928389857
18,Purple,200,49.189384710769424,1336.2956949003433,31.370479384958774
19,Blue,200,46.94905499410999,1292.1961245691325,30.680655465310934
20,Black,200,49.44261950523901,1266.906584287735,24.627033542067085
21,Black,215,49.300615537231074,1354.5217958271003,28.061192510385023
22,Blue,215,49.139893607787215,1222.4259120900067,21.8792776985554
23,Green,215,47.68394122388245,772.7096735771441,24.48749395498791
24,Purple,215,47.101745427490854,1004.8183781634125,23.25995808791618
25,Blue,215,49.972154380308766,997.417851370715,20.387364870729744
26,Purple,230,49.81729034658069,1205.9527997928935,21.01924843449687
27,Red,215,52.53029524459049,1338.3424283027894,27.035935147870294
28,Black,215,51.70386508773018,1318.7156740493222,25.614636741273483
29,Red,215,52.529284146568294,1236.2944850311137,22.469076570153142
30,Purple,215,47.72878826957654,1292.832006241544,21.86277710955422
31,Black,230,49.45089627379255,1231.4889008332182,19.88863624527249
32,Blue,215,50.709898443796895,1182.7698773211541,22.003589683179367
33,Blue,215,50.867511315022625,1113.9096581860265,19.237500155000312
34,Green,230,48.61200248000497,1200.2357203544548,19.981615227230453
35,Purple,215,46.766230392460784,1275.9277754049579,21.640521173042348
36,Red,215,54.13300452600906,1249.8132026990509,22.404180792361586
37,Red,215,52.84095591791184,1268.4068458305057,22.391425010850025
38,Black,230,48.585667555335114,1278.136035125833,21.44168937937876
39,Purple,230,44.48337851075702,1149.1047352047422,16.65115803831608
40,Green,230,48.13686601773203,1114.728532184313,19.705087978175957
41,Black,215,49.047495814991635,1166.534221169509,19.298035092070187
42,Black,230,48.07139959079918,1088.249052794158,18.268764957529918
43,Blue,230,48.417613367226735,1134.431668127571,19.348753797507594
44,Red,230,50.48940132680266,1068.1470042929377,18.343749395498794
45,Green,215,49.92035947671896,1079.9705221058796,19.406986421972846
46,Green,230,47.73862719325439,1135.4760933130653,18.070910905821812
47,Black,230,48.35910372620745,1233.5006477160039,19.151273730547462
48,Black,215,51.38751912703826,1087.001628873899,19.374782937565875
49,Purple,230,43.51605245210491,1276.2727787664983,18.84697811395623
50,Blue,230,49.08587351974705,1162.6761338316367,19.074827081654163
51,Purple,230,43.80974170748342,1273.3099761449232,19.130761857523716
52,Green,215,48.529074338148675,1225.5970028218042,20.40310707421415
53,Red,230,51.20893582987166,1283.7592167091866,20.589781015562032
54,Red,230,51.93144919089839,1276.9417765806932,20.45333833467667
55,Green,215,50.10720751441503,1214.697238816765,20.395841403682805
56,Purple,215,47.245541571083145,1308.3650525029493,21.611140678281355
57,Blue,230,48.43754243908488,1212.004282863443,19.881995659991322
58,Blue,230,48.11717304234609,1213.5270281520893,19.91567201934404
59,Red,230,52.82231347262695,1225.947932675867,20.91280984561969
60,Green,230,48.060352780705564,1230.710565365472,19.734383656767314
