Sequence_Number,UTS,Young_Modulus,Toughness,Color/Temperature
1,49.52639531,1103.319816,1.412289042,Black/200
2,49.00708079,852.8872525,1.712427128,Black/200
3,50.02282919,937.1500893,1.667179195,Black/200
4,49.2743715,820.1719799,1.909462868,Purple/200
5,52.13095158,915.7102841,1.773372574,Red/200
6,47.58645148,770.7843717,1.902290144,Purple/200
7,50.20964697,1055.107052,1.428992538,Red/200
8,46.46037721,930.9095952,1.545980892,Blue/200
9,49.45674512,979.2506778,1.569315949,Red/200
10,43.8856192,1009.800505,1.210724883,Green/200
11,50.87877909,1076.688247,1.483740078,Red/200
12,47.06501469,876.635418,1.707306196,Blue/200
13,46.17758944,864.7370148,1.657212235,Green/200
14,46.50960196,922.3936604,1.588547431,Blue/200
15,46.46012896,882.3803028,1.622476383,Green/200
16,45.82184252,936.1664492,1.468250504,Green/200
17,48.61576552,989.9213221,1.56609997,Purple/200
18,49.18938471,986.0760714,1.636454221,Purple/200
19,46.94905499,881.4559531,1.717629895,Blue/200
20,49.44261951,933.0257612,1.576110809,Black/200
21,49.30061554,930.2158147,1.666978453,Black/215
22,49.13989361,780.0775783,1.936702766,Blue/215
23,47.68394122,686.2488343,1.869161305,Green/215
24,47.10174543,781.4369162,1.59559736,Purple/215
25,49.97215438,726.1049085,2.071717477,Blue/215
26,49.81729035,796.0166367,1.883895003,Purple/230
27,52.53029524,900.5618699,1.949684105,Red/215
28,51.70386509,887.0072008,1.925345085,Black/215
29,52.52928415,796.6329764,2.143120068,Red/215
30,47.72878827,877.6629828,1.551922531,Purple/215
31,49.45089627,810.1311323,1.777745352,Black/230
32,50.70989844,802.6003963,1.971979578,Blue/215
33,50.86751132,742.0451937,2.289028224,Blue/215
34,48.61200248,786.53518,1.780645044,Green/230
35,46.76623039,833.3324766,1.570324876,Purple/215
36,54.13300453,822.3953389,2.196530566,Red/215
37,52.84095592,840.645664,2.21325516,Red/215
38,48.58566756,843.7659018,1.698367217,Black/230
39,44.48337851,788.5338297,1.354130354,Purple/230
40,48.13686602,769.7356424,1.755080015,Green/230
41,49.04749581,763.5328822,1.853246051,Black/215
42,48.07139959,755.1625288,1.752860446,Black/230
43,48.41761337,755.434894,1.836275274,Blue/230
44,50.48940133,763.4254793,1.982815965,Red/230
45,49.92035948,722.3132233,2.077807396,Green/215
46,47.73862719,746.0438026,1.813688011,Green/230
47,48.35910373,842.5590512,1.594251883,Black/230
48,51.38751913,794.3041143,1.973594837,Black/215
49,43.51605245,869.1232076,1.200682565,Purple/230
50,49.08587352,790.5845935,1.79858455,Blue/230
51,43.80974171,869.54171,1.208344366,Purple/230
52,48.52907434,800.2089495,1.757302715,Green/215
53,51.20893583,877.4430989,1.764478129,Red/230
54,51.93144919,863.8173511,1.968683514,Red/230
55,50.10720751,801.148697,1.90557998,Green/215
56,47.24554157,872.7139044,1.491166123,Purple/215
57,48.43754244,799.9128059,1.744785844,Blue/230
58,48.11717304,792.8517535,1.725544586,Blue/230
59,52.82231347,851.5668705,1.998713931,Red/230
60,48.06035278,814.6832849,1.674594411,Green/230
