Print #,Object 1,Object 2,Object 3,,Print Date,Start Time,Initial Chamber Temp [°C],Initial Humidity [%],Initial Indoor Humidity [%],,Transition 1 Chamber Temp [°C],Transition 1 Humidity [%],Transition 1 Indoor Humidity [%],,Transition 2 Chamber Temp [°C],Transition 2 Humidity [%],Transition 2 Indoor Humidity [%],,Chamber Temp Finish,Finished Humidity [%],Finished Indoor Humidity [%],Finish Time
1,purple_215,purple_215,red_215,,9-Nov,11:20 AM,27,40%,33%,,36,38%,31%,,37,42%,33%,,37,44%,35%,12:33 PM
2,blue_230,purple_230,,,9-Nov,1:09 PM,31,39%,32%,,37,39%,32%,,,,,,39,35%,31%,2:02 PM
3,green_200,black_200,,,11-Nov,2:25 AM,27,90%,59%,,36,84%,54%,,,,,,39,91%,58%,3:17 PM
4,red_215,black_215,red_215,,11-Nov,3:22 AM,37,84%,53%,,39,78%,53%,,39,86%,56%,,39,88%,54%,4:38 PM
5,black_230,red_230,red_230,,11-Nov,4:43 AM,37,88%,54%,,39,77%,51%,,40,90%,53%,,40,89%,51%,5:58 PM
6,blue_230,blue_230,black_230,,11-Nov,6:05 AM,37,89%,52%,,39,87%,50%,,40,88%,54%,,39,89%,49%,7:19 PM
7,blue_200,black_200,green_200,,11-Nov,8:06 AM,31,92%,51%,,37,88%,48%,,37,83%,45%,,39,92%,51%,9:32 PM
8,blue_215,blue_215,blue_215,,11-Nov,10:12 AM,31,94%,50%,,37,91%,51%,,39,91%,49%,,37,91%,49%,11:28 PM
9,green_215,black_215,black_215,,12-Nov,12:15 AM,31,90%,47%,,37,93%,48%,,39,93%,45%,,39,93%,49%,1:29 AM
10,green_215,green_215,black_215,,15-Nov,9:18 AM,24,78%,39%,,35,67%,35%,,37,62%,34%,,37,61%,33%,10:34 AM
11,red_200,red_200,red_200,,15-Nov,5:58 PM,25,63%,37%,,35,65%,37%,,36,69%,38%,,36,66%,37%,7:11 PM
12,blue_200,purple_200,black_200,,15-Nov,7:19 PM,34,67%,37%,,36,60%,34%,,37,67%,36%,,37,71%,37%,8:39 PM
13,red_215,purple_215,,,16-Nov,8:25 PM,25,63%,31%,,35,65%,31%,,,,,,36,61%,30%,9:20 PM
14,red_200,blue_200,purple_200,,16-Nov,11:41 PM,27,57%,40%,,35,58%,41%,,37,59%,40%,,37,54%,39%,12:58 AM
15,red_230,green_230,green_230,,17-Nov,3:52 PM,31,73%,48%,,35,84%,52%,,37,78%,51%,,37,88%,52%,5:06 PM
16,black_200,green_200,purple_200,,17-Nov,5:08 PM,36,88%,52%,,37,92%,57%,,37,92%,57%,,36,91%,56%,6:36 PM
17,blue_215,green_215,purple_215,,17-Nov,6:40 PM,35,91%,56%,,37,91%,56%,,37,91%,56%,,37,92%,57%,7:57 PM
18,purple_230,green_230,purple_230,,17-Nov,8:32 PM,31,93%,57%,,37,94%,58%,,37,92%,56%,,37,91%,54%,9:50 PM
19,purple_230,red_230,green_230,,18-Nov,4:27 PM,25,51%,31%,,35,58%,33%,,37,58%,32%,,37,61%,33%,5:45 PM
20,black_230,blue_230,black_230,,18-Nov,5:53 PM,34,64%,35%,,36,65%,35%,,37,62%,33%,,37,59%,32%,7:11 PM
21,green_200,blue_200,purple_200,,18-Nov,7:14 PM,36,67%,35%,,36,67%,33%,,37,70%,34%,,36,69%,34%,8:31 PM
