Batch #,Object 1,Object 2,,Print Date,Time,Initial Chamber Temp [°C],Initial Humidity [%],Initial Indoor Humidity [%],,Mid Print Chamber Temp [°C],Humidity Mid Print,Indoor Humidity Mid Print,,Finished Chamber Temp [°C],Finished Humidity,Finished Indoor Humidity,Finish Time
1,red_200,green_200,,21-Oct,10:46 AM,,,,,,,,,,,,
2,blue_200,black_200,,21-Oct,10:46 AM,,,,,,,,,,,,
3,green_200,purple_200,,21-Oct,12:22 PM,,,,,,,,,,,,
4,red_200,black_200,,21-Oct,1:15 PM,,,,,,,,,,,,
5,blue_200,purple_200,,21-Oct,5:35 PM,,,,,,,,,,,,
6,red_200,green_200,,21-Oct,5:55 PM,,,,,,,,,,,,
7,black_200,blue_200,,21-Oct,7:20 PM,,,,,,,,,,,,
8,purple_200,green_200,,21-Oct,7:30 PM,,,,,,,,,,,,
9,blue_200,red_200,,21-Oct,9:03 PM,,,,,,,,,,,,
10,purple_200,black_200,,21-Oct,9:12 PM,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
11,green_230,purple_230,,27-Oct,5:04 PM,29,88%,70%,,39,86%,66%,,41,91%,70%,6:30 PM
12,black_230,blue_230,,27-Oct,6:40 PM,37,90%,68%,,39,91%,68%,,41,87%,65%,7:58 PM
13,purple_230,green_230,,27-Oct,8:03 PM,39,94%,68%,,41,93%,68%,,39,94%,68%,9:23 PM
14,blue_215,green_215,,27-Oct,9:24 PM,38,91%,63%,,41,89%,63%,,41,85%,55%,10:41 PM
15,black_230,red_230,,27-Oct,10:47 PM,38,74%,49%,,41,82%,52%,,41,83%,53%,12:05 AM
16,green_230,black_230,,28-Oct,12:09 AM,39,81%,51%,,41,78%,47%,,41,80%,48%,1:25 AM
17,red_215,purple_215,,28-Oct,9:26 AM,29,88%,57%,,37,82%,65%,,39,80%,56%,10:44 AM
18,blue_215,red_215,,28-Oct,1:46 PM,30,75%,62%,,38,75%,58%,,36,69%,57%,3:12 AM
19,red_215,black_215,,28-Oct,3:29 PM,33,75%,60%,,38,74%,57%,,39,69%,55%,4:49 PM
20,black_215,purple_215,,28-Oct,4:59 PM,36,69%,55%,,38,74%,54%,,39,67%,54%,6:15 AM
21,blue_215,black_215,,28-Oct,6:17 PM,38,66%,48%,,39,61%,41%,,39,66%,43%,7:34 PM
22,purple_215,red_215,,28-Oct,7:57 PM,34,67%,43%,,39,77%,47%,,39,79%,47%,9:14 PM
23,green_215,blue_215,,28-Oct,10:20 PM,37,74%,44%,,39,76%,44%,,40,75%,45%,11:38 PM
,,,,,,,,,,,,,,,,,
24,blue_230,purple_230,,2-Nov,12:06 PM,27,59%,45%,,37,63%,46%,,39,59%,45%,1:25 PM
25,red_230,green_230,,2-Nov,1:42 PM,34,64%,50%,,39,61%,49%,,39,61%,49%,2:59 PM
26,black_230,red_230,,2-Nov,3:16 PM,35,58%,48%,,39,56%,46%,,37,60%,49%,4:32 PM
27,red_230,purple_230,,2-Nov,4:33 PM,35,60%,49%,,37,60%,46%,,39,62%,46%,5:55 PM
28,blue_230,blue_230,,3-Nov,2:56 PM,27,26%,26%,,37,25%,25%,,39,20%,20%,4:12 PM
29,black_215,purple_215,,3-Nov,4:24 PM,35,22%,22%,,39,27%,40%,,39,28%,41%,5:42 PM
30,green_215,green_215,,3-Nov,5:45 PM,37,28%,40%,,40,28%,39%,,40,34%,43%,6:59 PM
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
